word,trans,example
board,"n.董事会；木板；甲板；膳食
v.上（飞机、车、船等）；用板盖上；给提供膳宿
","1. Martha was chopping vegetables on a wooden board.
玛莎正在用一块木砧板切蔬菜。
2. a chess board
棋盘
"
president,"n.总统；董事长；校长；主席
","1. President Bush
布什总统
"
remove,"v.移动，迁移；开除；调动
n.移动；距离；搬家
","1. Remove the old wallpaper and fill any holes in the walls.
撕下旧墙纸，把墙上的洞都填平。
"
series,"n.系列，连续；[电] 串联；级数；丛书
","1. the series of events that led to the outbreak of war
导致战争爆发的一系列事件
2. The police are investigating a series of attacks in the area.
警方在调查该地区发生的一连串袭击事件。
3. There’s been a whole series of accidents on this road.
这条路上发生了一连串的交通事故。
"
record,"v.记录，记载；标明；将录音
n.档案，履历；唱片；最高纪录
adj.创纪录的
","1. Her husband made her record every penny she spent.
她丈夫要她把花的每分钱都记下来。
2. The coroner recorded a verdict of accidental death.
验尸官作出了意外死亡的结论。
3. Profits were at record levels.
利润水平是创纪录的。
"
moral,"adj.道德的；精神上的；品性端正的
n.道德；寓意
","1. It is easy to have an opinion on a moral issue like the death penalty for murder.
对于判谋杀犯死刑这种涉及伦理道德的问题，有个观点并非难事。
2. If we accept that certain babies should be allowed to die, we place doctors in a moral dilemma .
如果我们同意应该允许某些婴儿死去，那就是让医生在道德上处于两难境地了。
3. Man is gifted with a moral sense by which he distinguishes good from evil.
人类天生有道德意识，能区分善与恶。
"
production,"n.成果；产品；生产；作品
","1. the new Shakespeare production at the Arts Theatre
艺术剧院新排演的莎士比亚戏剧
"
population,"n.人口；[生物] 种群，[生物] 群体；全体居民
","1. Nearly 70 percent of the population still live in the countryside.
人口中差不多有70%仍住在乡村。
"
underline,"v.强调；在…下面划线；预告
n.下划线；下期节目预告
","1. This tragic incident underlines the need for immediate action.
这一悲剧事件突显了立即采取行动的必要性。
"
humanity,"n.人类；人道；仁慈；人文学科
","1. We want a clean healthy environment for all humanity .
我们希望全人类拥有一个干净健康的生存环境。
2. crimes against humanity
反人类罪
"
position,"n.位置，方位；职位，工作；姿态；站位
v.安置；把……放在适当位置
","1. Lie in a comfortable position .
以一个舒服的姿势躺下。
2. Frankie shifted his position so that his knees would not become cramped.
弗朗基换了个姿势，这样他的膝盖就不会老蜷着动弹不得。
"
particular,"adj.特别的；详细的；独有的；挑剔的
n.详细说明；个别项目
","1. In this particular case, no one else was involved.
这件事没有其他人牵涉其中。
2. Most students choose one particular area for research.
大多数学生选择一个特定领域进行研究。
3. a particular type of food
某一类食品
"
immigrant,"adj.移民的；迁入的
n.移民，侨民
","1. But “the hostile part can be mobilized from time to time,” by what he calls “anti-immigrant entrepreneurs.
但是“敌对的那部分可能会不时地动员”，以他称之为“反移民企业家”的名义。
2. That such a woman would want more for her daughter than someone who was a failed boxer, a doorman, and an illegal immigrant seemed to him perfectly reasonable.
在他看来，这样一个女人想要给自己的女儿找一个比失败的拳击手、看门人和非法移民更好的男人，是完全合理的。
"
opportunity,"n.时机，机会
","1. There are fewer opportunities for new graduates this year.
今年新毕业的大学生就业机会较少。
"
access,"v.使用；存取；接近
n.进入；使用权；通路
","1. Users can access their voice mail remotely.
用户可以远程获取语音邮件。
"
observe,"v.庆祝
","1. ...where he will observe Thanksgiving with family members.
…在那里他将与家人一起庆祝感恩节。
"
stay,"v.停留；坚持；暂住；停下
n.逗留；停止；支柱
","1. They stayed all afternoon chatting.
他们待了整个下午聊天。
2. She stayed late to finish the report.
为了完成报告，她工作到很晚。
"
commercial,"adj.商业的；营利的；靠广告收入的
n.商业广告
","1. Our top priorities must be profit and commercial growth.
我们必须把利润和贸易增长作为我们的第一要务。
"
reveal,"v.显示；透露；揭露；泄露
n.揭露；暴露；门侧，窗侧
","1. He may be prosecuted for revealing secrets about the security agency.
他可能因泄露安全部门的机密而被起诉。
2. a test that can reveal a teacher’s hidden skills
能够展现老师潜在技能的测试
"
effort,"n.努力；成就
","1. please make an effort to be polite.
请尽量礼貌些。
2. Church leaders are prepared to meet the terrorists in an effort to (= in order to try to ) find peace.
为寻求和平，教会领袖准备与恐怖分子会面。
"
reduce,"v.减少；降低；使处于；把…分解
","1. The governor announced a new plan to reduce crime.
州长宣布了一项降低犯罪率的新计划。
2. The helmet law should reduce injuries in motorcycle accidents.
头盔法的实施应该能减少摩托车事故的受伤率。
3. Small businesses will need to reduce costs in order to survive.
小企业要想生存必须削减成本。
"
term,"n.术语；学期；期限；条款；(代数式等的)项
v.把…叫做
","1. Teachers often feel overworked in term time (= during the term ) .
教师在学期内经常觉得工作担子过重。
"
action,"n.行动；活动；功能；战斗；情节
","1. The government must take action (=  do something  ) now to stop the rise in violent crime.
政府现在必须采取行动遏止暴力犯罪的上升。
2. She was looking forward to putting her ideas into action (=  doing the things she had planned  ) .
她盼望着将自己的想法付诸实施。
3. Ambulance crews are ready to spring into action (=  suddenly start doing something  ) if anything goes wrong during the race.
救护车急救人员随时准备出动，以应对比赛期间发生的意外。
"
decade,"n.十年，十年期；十
","1. ...the last decade of the nineteenth century.
…19世纪的最后10年。
"
productivity,"n.生产力；生产率；生产能力
","1. high productivity levels in manufacturing
制造业中的高生产率
2. It cost the country $4 million in lost productivity .
它对该国造成了400万美元的生产力损失。
"
sentence,"n.[语][计] 句子，命题；宣判，判决
v.判决，宣判
","1. His voice dropped at the end of the sentence.
到句子结尾处，他压低了嗓音。
"
celebrity,"n.名人；名声
","1. a sporting celebrity
体育明星
2. He’s a national celebrity.
他是全国有名的人物。
3. We invited a number of minor celebrities (= people who are not very famous ) .
我们邀请了一些小有名气的人物。
4. celebrity chef/gardener etc
名厨/名人园艺师等
"
teacher,"n.教师；导师
","1. a primary school teacher
小学教师
"
concern,"v.涉及，关系到；使担心
n.关系；关心；关心的事；忧虑
","1. Issues like food additives do concern me.
食品添加剂这类事情确实使我很担心。
"
score,"n.分数；二十；配乐；刻痕
v.获得；评价；划线，刻划；把…记下
","1. a musical score
乐谱
2. Who wrote the score for the movie?
这部电影的配乐是谁谱写的？
"
variety,"n.多样；种类；杂耍；变化，多样化
","1. I really like the variety the store has to offer.
我很喜欢这家商店商品的丰富多样。
"
unique,"adj.独特的，稀罕的；[数] 唯一的，独一无二的
n.独一无二的人或物
","1. Each person’s fingerprints are unique.
每个人的指纹都是独一无二的。
"
depend,"v.依赖，依靠；取决于；相信，信赖
","1. He depended on his writing for his income.
他靠写作谋生。
"
nuclear,"adj.原子能的；[细胞] 细胞核的；中心的；原子核的
","1. France’s reliance on nuclear energy
法国对核能的依赖
2. a nuclear power station
核电站
3. a nuclear-powered submarine
核动力潜艇
"
involve,"v.包含；牵涉；使陷于；潜心于
","1. What will the job involve?
这份工作包括什么？
2. I didn’t realize putting on a play involved so much work.
我没想到上演一出戏剧需要做这么多的工作。
"
career,"n.生涯；职业；事业；速度，全速
adj.作为毕生职业的
v.全速前进，猛冲
","1. a teaching career
教学事业
2. He realized that his acting career was over.
他意识到自己的演艺事业已走到了尽头。
3. a physiotherapist who wanted to make a dramatic career change by becoming an author
想彻底改行当作家的理疗师
4. Nurses want an improved career structure (= better opportunities to move upwards in their jobs ) .
护士希望有更好的职业架构。
5. She received very little career guidance when young.
她年轻时没受过什么就业指导。
"
belief,"n.相信，信赖；信仰；教义
","1. When you get something wrong, it can shake your belief in yourself.
如果有什么事情没做好，就会动摇你对自己的信心。
"
spend,"v.度过，消磨（时光）；花费；浪费；用尽
n.预算
","1. I can’t afford to spend any more money this week.
这星期我没有能力花更多的钱了。
2. The repairs cost a lot, but it’s money well spent (= a sensible way of spending money ) .
修理费很高，但这是该花的钱。
"
necessary,"adj.必要的；必需的；必然的
n.必需品
","1. The booklet provides all the necessary information about the college.
这本小册子提供了关于那所学院的所有必需信息。
2. No further changes were considered necessary.
没有必要作出进一步改变。
3. The doctor says it may be necessary for me to have an operation.
医生说我可能需要做手术。
"
general,"adj.一般的，普通的；综合的；大体的
n.一般；将军，上将；常规
","1. a general introduction to computing
计算机应用概论
2. I skimmed through it to get a general impression of the text.
我把文章浏览了一下，让自己有个大致的了解。
3. I have a general idea of what I want to express.
我对自己想要表达什么有个大致的想法。
4. He spoke in general terms about greater competitiveness.
他大致地说了说要加强竞争力。
"
cure,"v.治疗；治愈；使硫化；加工处理
n.治疗；治愈；[临床] 疗法
","1. Many types of cancer can now be cured.
现在许多癌症都可以治好。
2. an operation that can cure short-sightedness in 15 minutes
15分钟就可治愈近视的一种手术
"
network,"n.网络；广播网；网状物
","1. Hungary’s telephone network
匈牙利的电话网
2. a high-speed European rail network
欧洲的高速铁路网
"
determine,"v.（使）下决心，（使）做出决定
","1. The date of the court case has not yet been determined.
庭审日期尚未确定。
"
possible,"adj.可能的；合理的；合适的
n.可能性；合适的人；可能的事物
","1. Is it possible toget tickets for the game?
有没有可能弄到比赛的门票？
2. It might be possible for the documents to be sent over.
这些文件也许可以发送过去。
3. Computer technology makes it possible for many people to work from home.
计算机技术让很多人可以在家里工作。
4. I want to avoid the rush hour traffic if possible .
如有可能我想避开交通高峰时间。
5. I walk or use public transport whenever possible .
只要有可能我就步行或者乘坐公共交通工具。
6. We are doing everything possible to track down the killer.
我们正竭尽全力追捕杀人凶手。
7. Our staff will help you in every way possible .
我们的员工会尽力帮助你。
8. Even if it were technically possible , we do not have the money to do it.
即使技术上可行，我们也没有钱去做。
9. She decided to stay as far away from him as was humanly possible .
她决定尽可能离他远点。
"
security,"n.安全；保证；证券；抵押品
adj.安全的；保安的；保密的
","1. The trial was held under tight security .
这场审讯是在戒备森严的情况下进行的。
2. lax security at airline check-in desks
登机手续柜台松懈的安全措施
3. terrorist activity that is a threat to national security
威胁国家安全的恐怖活动
4. The prison was ordered to tighten security after a prisoner escaped yesterday.
昨天一名囚犯越狱后，该监狱被勒令加强安全措施。
5. The Security Commission investigates breaches of security .
安全委员会对违反安全规定的事项进行调查。
6. We have been asked not to say anything for security reasons .
出于安全考虑，我们被要求守口如瓶。
7. The security forces opened fire, killing two people.
保安部队开枪打死了两个人。
8. The thief was caught on a security camera .
小偷被保安摄像机当场拍了下来。
9. There are strict security checks on everyone entering the Opera House.
每个人进入歌剧院都要接受严格的安全检查。
10. A large number of homes lack adequate security measures .
许多住宅都未采取足够的安全措施。
"
organization,"n.组织；机构；体制；团体
","1. The public expect high standards from any large organization.
公众对任何大型机构都期望很高。
2. the World Trade Organization
世界贸易组织
3. a voluntary organization which helps disabled people with their transport needs
帮助残疾人士满足其交通需求的一个志愿组织
4. an illegal terrorist organization
非法的恐怖组织
5. international organizations such as the UN
诸如联合国之类的国际组织
"
pursuit,"n.追赶，追求；职业，工作
","1. The quarterback sprinted toward the end zone with Jansen in hot pursuit (= following closely behind ) .
那名四分卫快速冲向底线区，詹森穷追不舍。
"
plant,"n.工厂，车间；植物；设备；庄稼
v.种植；培养；栽培；安置
","1. Don’t forget to water the plants.
别忘记给植物浇水。
"
situation,"n.情况；形势；处境；位置
","1. I explained the situation to everyone.
我向大家介绍了一下情况。
"
agency,"n.代理，中介；代理处，经销处
","1. a UN agency responsible for helping refugees
负责为难民提供帮助的联合国机构
"
natural,"adj.自然的；物质的；天生的；不做作的
n.自然的事情；白痴；本位音
","1. the study of the natural world 
对自然界的研究
2. an area of spectacular natural beauty
自然风景秀丽的地区
3. death from natural causes
自然死亡
4. the need for natural light in offices
办公室里需要自然光的照射
"
speak,"v.说话；演讲；表明；陈述
","1. I was so shocked I couldn’t speak.
我震惊得说不出话来。
2. He spoke very softly (= quietly ) .
他说话声音非常轻柔。
"
feature,"n.特色，特征；容貌；特写或专题节目
v.起重要作用
","1. Air bags are a standard feature in most new cars.
气囊是大多数新车的标准配置。
2. Striped tails are a common feature of many animals.
尾巴上有条纹是许多动物的共同特征。
3. The hotel’s only redeeming features (= things that make it acceptable ) were that it was cheap and near the city centre.
这家旅馆仅有的可取之处就是价格低廉并且靠近市中心。
4. One of the distinguishing features (= features that are different from other things of the same sort ) of modern banking is its dependence on computers.
现代银行业的显著特征之一就是依赖电脑。
"
translation,"n.翻译；译文；转化；调任
","1. She read the letter and gave us a rough translation (= she did not translate everything exactly ) .
她看了信，给我们大概翻译了一下。
2. I’ve only read ‘Madame Bovary’ in translation (= not in its original language ) .
我只读过《包法利夫人》的翻译本。
3. Much of the book’s humour has been lost in translation (= is no longer effective when translated ) .
本书的许多幽默元素已在翻译过程中丢失。
"
mass,"n.块，团；群众，民众；大量，众多；质量
adj.群众的，民众的；大规模的，集中的
v.聚集起来，聚集
","1. The road was blocked by a solid mass of protesters.
道路被密密麻麻的抗议者阻塞了。
"
achieve,"v.取得；获得；实现；成功
","1. Frances achieved very good exam results.
弗朗西丝考试取得了优异成绩。
2. Wilson has achieved considerable success as an artist.
威尔逊作为一名艺术家成就斐然。
3. She eventually achieved her goal of becoming a professor.
她终于实现目标，当上了教授。
"
agree,"v.同意，赞成；承认；约定，商定
","1. Teenagers and their parents rarely agree.
十几岁的孩子跟父母意见很少一致。
"
difficult,"adj.困难的；不随和的；执拗的
","1. a difficult question
难解的问题
2. an immensely difficult task
极为艰巨的任务
3. Was the exam very difficult?
这次考试很难吗？
4. It’s difficult to see how more savings can be made.
想要进一步节约看来是很难了。
5. He’s finding it difficult to get a job.
他发现找工作很难。
"
formal,"adj.正式的；拘谨的；有条理的
n.正式的社交活动；夜礼服
","1. formal recognition of the reformed church
改革后的教会所获得的官方承认
2. a formal agreement between the countries
两国间的正式协议
3. There is no formal structure for negotiating pay increases.
加薪谈判没有正式的框架可循。
"
lawyer,"n.律师；法学家
","1. Prosecution and defence lawyers are expected to deliver closing arguments next week.
原告律师和被告律师下周将要作终结辩论。
"
trend,"n.趋势，倾向；走向
v.趋向，伸向
","1. The current trend is towards more part-time employment.
当前的趋势是雇用更多的兼职人员。
2. the general trend towards the centralization of political power
政治权力集中化的普遍趋势
3. A disturbing trend is that victims of violence are getting younger.
一个令人担心的趋势是，暴力行为的受害者越来越年轻。
4. The growing trend is for single mothers to bring up children by themselves.
单身母亲独自抚养孩子的趋势在上升。
5. Even so, the underlying trend is positive.
尽管如此，基本趋势仍是乐观的。
6. national and international economic trends
国内和国际的经济趋势
7. the downward trend in the price of gold
黄金价格的下滑势头
8. Successive presidents have tried to reverse this trend , but without success.
连续几任总统都试图扭转这一趋势，但均未成功。
"
order,"n.命令；顺序；规则；[贸易] 定单
v.命令；整理；定购
","1. There seemed to be no logical order to the sections.
这几部分似乎没有逻辑顺序。
"
advantage,"n.优势；利益；有利条件
v.获利
","1. Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.
年轻点的工人申请工作时往往处于优势地位。
2. It might be to your advantage (=  it might help you  ) to take a computer course of some kind.
上一门计算机课程可能对你有利。
"
suppose,"v.假设；认为；让（虚拟语气）；推想
conj.假使…结果会怎样
","1. There were many more deaths than was first supposed.
死亡人数远远超过最初的预料。
2. (= it is unlikely that ) he’s lying.
没有理由认为他在说谎。
"
province,"n.省；领域；职权
","1. a Chinese province
中国的一个省
"
soccer,"n.英式足球，足球
","1. It must be one of those soccer scarfs from England.
那一定是某个英国足球队的围巾。
"
encourage,"v.鼓励，怂恿；激励；支持
","1. I want to thank everyone who has encouraged and supported me.
我要感谢每一位鼓励和支持过我的人。
"
promise,"n.许诺，允诺；希望
v.允诺，许诺；给人以…的指望或希望
","1. If you make a promise, you should keep it.
如果你许下一个诺言，你就应该遵守它。
2. The post office has promised to resume first class mail delivery to the area on Friday.
邮局已承诺在星期五恢复该地区第一类邮件的递送。
3. He had promised that the rich and privileged would no longer get preferential treatment.
他已承诺富人和特权阶层将不会再得到优待。
4. Promise me you will not waste your time.
向我承诺你不会浪费你的时间。
5. I'll call you back, I promise.
我会给你回电话的，我保证。
"
sign,"n.迹象；符号；记号；手势；指示牌
v.签署；签名
","1. a sign on the door
门上的标牌
2. {""COLLOINEXA"":[""road signs""]}
路标
3. a no smoking sign
禁止吸烟的告示牌
4. Don’t ignore the fog warning signs .
不要忽视雾警标志。
"
analysis,"n.分析；分解；验定
","1. She’s been in analysis for three years.
她接受精神分析治疗已经三年了。
"
translate,"v.翻译；转化；解释；转变为；调动
","1. Poetry doesn’t usually translate well.
诗歌通常都译不好。
"
expert,"adj.熟练的；内行的；老练的
n.专家；行家；能手
vt.当专家；在…中当行家
","1. He cast his expert eye on the gardener’s work.
他用内行的眼光看了看园丁干的活。
"
present,"v.提出；介绍；呈现；赠送
adj.现在的；出席的
n.现在；礼物；瞄准
","1. She was presented with an award .
她被授予一个奖项。
"
justice,"n.司法，法律制裁；正义；法官，审判员
","1. a book on the criminal justice system
一本有关刑事审判制度的书
2. The killers will be brought to justice(= caught and punished ).
这些杀人犯将被绳之以法。
3. Acts of terrorism must not escape justice.
恐怖主义行为必定难逃法律制裁。
"
apply,"v.申请；涂，敷；应用
","1. We need to apply for planning permission to build a garage.
我们建车库需要申请规划许可。
"
limited,"adj.有限的
n.高级快车
","1. My knowledge of the business is limited.
我对这一行了解有限。
2. The organization has very limited resources.
这家机构资源非常有限。
3. So far, the education reforms have had only limited success.
迄今为止，教育改革只取得了有限的成效。
"
source,"n.来源；水源；原始资料
","1. They get their money from various sources.
他们从各种途径弄到钱。
"
carry,"v.拿，扛；携带；支持；搬运
n.运载；[计] 进位；射程
","1. Gina was carrying a small bunch of flowers.
吉娜拿着一小束花。
2. Angela carried the child in her arms.
安杰拉把小孩抱在怀里。
3. Let me carry that for you.
让我帮你拿吧。
4. Jack carried his grandson up the stairs.
杰克把孙子抱上楼去。
"
focus,"n.焦点；中心；清晰；焦距
v.使集中；使聚焦
","1. The focus of recent research has been on environmental issues.
近期的研究重点是环境问题。
2. Eggs became the focus for the food poisoning scare.
鸡蛋成了食物中毒恐慌的焦点。
"
sleep,"v.睡，睡觉
n.睡眠
","1. I usually sleep on my back.
我一般仰卧着睡觉。
2. Did you sleep well?
你睡得好吗？
3. He’s lucky because at least he has somewhere to sleep.
他算是幸运的，至少还有个睡觉的地方。
"
reality,"n.现实；实际；真实
","1. the distinction between fantasy and reality
幻想和现实之间的区别
2. TV is used as an escape from reality .
电视成了逃避现实的一种方式。
3. I think the government has lost touch with reality (= no longer understands what is real or true ) .
我认为政府已经脱离了现实。
4. political realities
政治现实
5. The paperless office may one day become a reality .
无纸化办公室有一天可能会成为现实。
"
catch,"v.赶上；抓住；感染；了解
n.捕捉；捕获物；窗钩
","1. He was caught red-handed (= as he was doing something wrong ) taking money from the cash register.
他从现金出纳机偷钱时被当场抓住。
"
basic,"adj.基本的；基础的
n.基础；要素
","1. the basic principles of chemistry
化学的基本原理
2. The basic idea is simple.
基本思想很简单。
3. {""COLLOINEXA"":[""basic research""]}
基础研究
4. {""COLLOINEXA"":[""basic information""]}
基本信息
"
drink,"v.喝，饮；吸收；举杯庆贺
n.酒，饮料；喝酒
","1. You should drink plenty of water.
你应该大量喝水。
2. What would you like to drink?
你想喝点什么？
3. Take a seat while I get you something to drink .
请坐，我去给你倒杯喝的。
4. She filled the glass and drank.
她把杯子倒满后喝了起来。
"
finding,"n.发现；裁决；发现物
v.找到；感到（find的ing形式）；遇到
","1. Surveys conducted in other countries reported similar findings.
在其他国家进行的调查也报告说有类似的结果。
"
visit,"n.访问；参观；逗留
v.访问；参观；视察
","1. We’re just here on a short visit.
我们只在这儿作短暂逗留。
2. Why don’t you come for a visit this summer?
你们何不今年夏天来这里做客呢？
3. I decided to pay him a visit at his office.
我决定去他的办公室拜访他。
4. I’ve just had a visit from the police.
警察刚来找过我。
5. I’m only here for the weekend – just a flying visit this time.
我在这里只过个周末这次逗留时间很短。
6. his first official visit to Britain as Russian President
他当选俄罗斯总统后的首次正式访问英国
7. The town is well worth a visit.
这个小镇绝对值得一看。
"
model,"n.模型；典型；模范；模特儿；样式
v.模拟；塑造；模仿
adj.模范的；作模型用的
","1. a working model (= one with parts which move ) of a steam engine
蒸汽机车的活动模型
2. ...a model railway.
…一个铁路模型。
"
matter,"n.物质；事件
v.有关系；要紧
","1. particles of matter
物质的微粒
"
physical,"adj.[物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的
n.体格检查
","1. She was in constant physical pain.
她一直感到身上疼痛。
2. the physical and emotional needs of young adults
青年人的身心需求
3. people with severe physical disabilities
身体重度残疾的人
4. Don’t be put off by his physical appearance .
别因为他的外貌讨厌他。
5. He was obsessed with physical fitness .
他对健身着了迷。
"
classical,"adj.古典的；经典的；传统的；第一流的
n.古典音乐
","1. the classical theory of relativity
经典相对论
"
growth,"n.增长；发展；生长；种植
","1. measures to stimulate economic growth
刺激经济增长的措施
"
trade,"n.贸易，交易；行业；职业
v.交易，买卖；以物易物
","1. international trade agreements
国际贸易协定
2. unfair trade practices
不公平的贸易行为
"
track,"n.轨道；足迹，踪迹；小道
v.追踪；通过；循路而行；用纤拉
","1. The road leading to the farm was little more than a dirt track .
只有一条烂泥小路通往农场。
2. The track led through dense forest.
小径穿过茂密的森林。
3. a steep mountain track
陡峭的山路
"
senior,"adj.高级的；年长的；地位较高的；年资较深的，资格较老的
n.上司；较年长者；毕业班学生
","1. the senior Democrat on the House committee
众议院委员会中的资深民主党人
2. White men hold most of the jobs in senior management .
白人占据高级管理层的大部分职位。
3. the senior partner in a law firm
律师事务所里的资深合伙人
"
educate,"v.教育；培养；训练
","1. The Ormerod School educates handicapped children.
奥默罗德学校的教育对象为残疾儿童。
"
stand,"v.站立；位于；停滞
n.站立；立场；看台；停止
","1. It looks like we’ll have to stand – there are no seats left.
看来我们只能站着——没有座位了。
2. She stood in the doorway.
她站在门口。
3. (= do not move ) and listen to me.
站好别动，听我说。
4. Don’t just stand there (= stand and not do anything ) – help me!
不要光站在那里，帮帮我！
"
journalist,"n.新闻工作者；报人；记日志者
","1. a well-known journalist and broadcaster
一位著名的新闻记者兼播音员
"
setting,"n.环境；安装；布置；[天] 沉落
v.放置；沉没；使…处于某位置（set的ing形式）
","1. I’ve worked with children in various settings, mainly in secondary school.
我在许多地方教过孩子，主要是在中学。
"
return,"v.返回；报答
n.返回；归还；回球
adj.报答的；回程的；返回的
","1. It was forty five minutes before she returned.
过了45分钟她才回来。
2. Alison decided to return home.
艾利森决定回家。
3. He left his country, never to return.
他离开了祖国，一去不复返。
"
relationship,"n.关系；关联
","1. He’s never had a sexual relationship before.
他以前从未与人有过性关系。
"
pattern,"n.模式；图案；样品
v.模仿；以图案装饰
","1. Weather patterns have changed in recent years.
气候模式近年已经发生了变化。
2. A general pattern began to emerge .
一个总体模式开始显现。
3. Their descriptions seemed to follow a set pattern (= always develop in the same way ) .
他们的描述似乎依据固定的模式。
4. His behavior fits a pattern of violent acts.
他的举动符合暴力行为的模式。
"
emerge,"v.浮现；摆脱；暴露
","1. The flowers emerge in the spring.
花儿在春天开放。
"
ignore,"v.驳回诉讼；忽视；不理睬
","1. You can’t ignore the fact that many criminals never go to prison.
你不能无视很多罪犯从未获刑的事实。
2. problems which we can’t afford to ignore
我们不能置之不理的问题
"
flow,"v.流动，涌流；川流不息；飘扬
n.流动；流量；涨潮，泛滥
","1. Money has been flowing into the country from Western aid agencies.
资金源源不断地从西方援助机构流入该国。
"
suitable,"adj.适当的；相配的
","1. We are hoping to find a suitable school.
我们希望能找到一所合适的学校。
"
environment,"n.环境，外界
","1. Some of these chemicals are very damaging to the environment.
这些化学品中有些对环境非常有害。
2. legislation to protect the environment
保护环境的法规
3. the effects of acid rain on the environment
酸雨对环境的影响
4. the government minister for the environment
负责环境事务的政府部长
"
exercise,"n.运动；练习；运用；操练；礼拜；典礼
v.锻炼；练习；使用；使忙碌；使惊恐
","1. Try to fit some regular exercise into your daily routine.
尽量在日常生活中安排一些经常性的锻炼。
2. Working in an office, I don’t get much exercise.
由于在办公室工作，我很少运动。
"
force,"n.力量；武力；军队；魄力
v.促使，推动；强迫；强加
","1. Peace cannot be imposed by force .
和平不能通过武力来实现。
2. The UN will allow the use of force against aircraft violating the zone.
联合国将允许对侵犯这一地区的飞机采取军事行动。
"
introduce,"v.介绍；引进；提出；采用
","1. Have you two been introduced? Tom, this is Greg.
有人给你们俩互相介绍了吗？汤姆，这位是格雷格。
"
personal,"adj.个人的；身体的；亲自的
n.人事消息栏；人称代名词
","1. My personal view is that we shouldn’t offer him the job.
我个人认为我们不该给他这份工作。
2. Style and colour are a matter of personal taste .
款式和颜色是个人爱好问题。
3. She took full personal responsibility for all the arrangements.
她个人对所有的安排承担全部责任。
4. When I went to her room all her personal belongings had gone.
我到她房间时，她所有的私人物品都已不在了。
5. After Alan’s death, his mother received his personal effects .
艾伦死后，他母亲接收了他的私人物品。
6. I know from personal experience that you can’t trust Ralph.
根据我的亲身经验，我认为你不能相信拉尔夫。
7. the personal qualities needed to be successful in business
生意成功所需要的个人素质
8. The car is for personal use only.
这辆汽车仅供私人使用。
9. On a personal level he felt sympathy for them, but he had a job to do.
从个人角度他很同情他们，但是他有任务在身。
10. celebrities with their own personal trainer
拥有私人健身教练的名流
"
negative,"adj.[数] 负的；消极的；否定的；阴性的
n.否定；负数；[摄] 底片
v.否定；拒绝
","1. students with a negative attitude to school
对上学抱消极态度的学生
2. They have a uniformly negative image of the police.
他们都对警察印象不好。
3. Jean rarely sounded so negative about her mother.
琼很少这么说她母亲不好。
"
native,"adj.本国的；土著的；天然的；与生俱来的；天赋的
n.本地人；土产；当地居民
","1. They never saw their native land again.
他们再也没见到故土。
2. He spent most of his professional life outside his native Poland.
他大部分的职业生涯都没在祖国波兰度过。
"
investment,"n.投资；投入；封锁
","1. We plan to buy some property as an investment.
我们打算买些房地产作为投资。
"
exchange,"n.交换；交流；交易所；兑换
v.交换；交易；兑换
","1. Four of my cassettes for your Madonna CD is a fair exchange.
我用四盒磁带换你的麦当娜激光唱片很公平。
"
range,"n.范围；幅度；排；山脉
v.（在内）变动；平行，列为一行；延伸；漫游；射程达到
","1. a temperature range of 72-85˚
72 度到85度之间的温度范围
2. Even the cheapest property was out of our price range (= too expensive for us ) .
即使是最便宜的房子也超出了我们能承受的价格范围。
"
professional,"adj.专业的；职业的；职业性的
n.专业人员；职业运动员
","1. This business plan looks very professional.
这个商业计划看上去很有专业水平。
2. a more professional approach to work
更专业的工作方法
"
strong,"adj.坚强的；强壮的；牢固的；擅长的
adv.强劲地；猛烈地
n.(Strong)人名；(英)斯特朗
","1. He was a big strong man.
他高大健壮。
2. Jack was tall and strong.
杰克又高又壮。
3. I’m not strong enough to fight him.
和他打我还不够强壮。
"
extra,"adv.特别地，非常；另外
n.临时演员；号外；额外的事物；上等产品
adj.额外的，另外收费的；特大的
","1. They need to offer something extra to attract customers.
他们需要提供额外的东西以吸引顾客。
"
threat,"n.威胁，恐吓；凶兆
","1. Your threats don’t scare me.
你的那些威胁吓不倒我。
2. threats made against his wife and children
对他妻儿的威胁
3. Nichols never carried out his threat to resign.
尼科尔斯威胁过要辞职，但从未付诸行动。
4. The government will not give in to terrorist threats .
政府不会屈服于恐怖分子的威胁。
5. She dismissed the statement as an empty threat .
她无视这项声明，认为是个空口威胁。
6. They warned him with veiled threats not to mention anything he had witnessed.
他们话中有话地威胁他不要提及他所目睹的事。
7. The police are investigating death threats made against the two men.
警方正在调查针对这两名男子的死亡恐吓。
8. Officials at the school say they received a bomb threat at approximately 11:30 a.m. today.
学校的官员说他们在今天上午11点半左右收到过炸弹恐吓。
"
successful,"adj.成功的；一帆风顺的
","1. The operation was successful.
手术成功了。
2. a highly successful (= very successful ) meeting
十分成功的会议
"
conduct,"v.导电；带领
n.进行；行为；实施
","1. Aluminium, being a metal, readily conducts heat .
铝这种金属导热性能很好。
"
consequence,"n.结果；重要性；推论
","1. I don’t suppose it is of any consequence now.
现在我觉得这事一点都无所谓了。
"
