word,word_sen,word_sen_trans,trans,example
creative,This job is so boring. I wish I could do something more creative.,这工作太单调了，我希望能做些更有创造性的事情。,"adj.创造性的
","1. This job is so boring. I wish I could do something more creative.
这工作太单调了，我希望能做些更有创造性的事情。
2. I teach creative writing at Trinity College.
我在三一学院教创意写作。
3. the creative process of writing a poem
写诗的创作过程
4. Diaghilev did his great creative work in France.
狄亚格列夫在法国编创了富有创新性的伟大作品。
5. a creative solution to the problem
这一问题的创新性解决方法
"
behalf,She asked the doctor to speak to her parents on her behalf.,她请医生代她同她父母谈谈。,"n.代表；利益
","1. She asked the doctor to speak to her parents on her behalf.
她请医生代她同她父母谈谈。
2. On behalf of everyone here, may I wish you a very happy retirement.
请允许我代表在座的各位祝你退休后生活愉快。
"
talent,"He has a lot of talent , and his work is fresh and interesting.",他很有天赋，作品新颖有趣。,"n.才能；天才；天资
","1. He has a lot of talent , and his work is fresh and interesting.
他很有天赋，作品新颖有趣。
2. a persuasive speaker with a natural talent for leadership
有领导天赋、颇有辩才的演说者
3. His latest book reveals hidden talents .
他最新的一本书展现了他深藏不露的才能。
4. Sadly, she inherited none of her father’s musical talent .
可惜的是，她一点都没有继承她父亲的音乐天赋。
5. Your brother is a man of many talents .
你的弟弟是个多才多艺的人。
6. There’s a wealth of talent in English football.
英格兰足球界人才济济。
"
subtle,"The pictures are similar, but there are subtle differences between them.",这些图片很相似，但它们之间有细微的差别。,"adj.微妙的；精细的；敏感的；狡猾的；稀薄的
","1. The pictures are similar, but there are subtle differences between them.
这些图片很相似，但它们之间有细微的差别。
2. The warning signs of the disease are so subtle that they are often ignored.
这种疾病的警示征兆不易察觉，因而往往被忽视。
3. a subtle form of racism
隐性的种族歧视
4. The dish had a subtle hint of ginger.
这道菜微微带点姜的味道。
"
prior,You do not need any prior knowledge of the subject.,你无需事先具备该方面的知识。,"adj.优先的；在先的，在前的
adv.在前，居先
n.(Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔
","1. You do not need any prior knowledge of the subject.
你无需事先具备该方面的知识。
2. Changes may not be made without the prior approval of the council.
未经委员会事先同意，不得作出改变。
3. Vegetarian meals are provided by prior agreement.
经事先协商可提供素食。
4. Some prior experience with the software is needed.
要求事先熟悉这个软件。
"
duty,I promise I will do my duty .,我保证会尽到我的责任。,"n.责任；[税收] 关税；职务
","1. I promise I will do my duty .
我保证会尽到我的责任。
2. We feel it is our duty to help her.
我们感到帮助她是我们的责任。
3. Local authorities have a duty to keep the streets clean.
地方当局有责任保持街道整洁。
4. You have a duty to your husband and to your children.
你对你丈夫和孩子负有责任。
5. She has a strong sense of moral duty .
她的道德责任感很强。
6. The unions have failed in their duty to female workers.
工会未能对女职工尽到责任。
7. In the traditional Hindu family, the son is duty-bound to look after his mother.
在传统的印度家庭里，儿子负有照顾母亲的责任。
"
application,We receive hundreds of job applications each year.,我们每年收到数百封求职信。,"n.应用；申请；应用程序；敷用
","1. We receive hundreds of job applications each year.
我们每年收到数百封求职信。
2. I filled in the application form and sent it off.
我填完申请表后把它寄了出去。
3. You have to submit your application before the end of the month.
月底之前必须递交申请。
4. I’ve put in an application for a transfer.
我已递交了调动申请。
5. He received a letter saying that his application had been rejected .
他收到一封信，告知他的申请已被拒绝。
6. It can take a long time for your visa application to be processed .
办理签证申请可能需要很长时间。
7. The Council is currently reviewing the way it deals with planning applications .
市政会目前正在审查其处理规划申请的方式。
8. Thank you for your letter of application , which we received yesterday.
你的申请信昨天收悉，谢谢。
"
print,There was no print at all on the backs of the tickets.,门票背面没有印任何文字。,"n.印刷业；印花布；印刷字体；印章；印记
v.印刷；打印；刊载；用印刷体写；在…印花样
","1. There was no print at all on the backs of the tickets.
门票背面没有印任何文字。
2. the pleasure of seeing my name in print
在出版物中看到我名字时的那份喜悦
3. Very little of his poetry actually got into print (= was printed ) .
他的诗作鲜有付梓。
"
forward,Army roadblocks prevented any further forward movement .,有军队的路障，不能继续前行了。,"adj.向前的；早的；迅速的
adv.向前地；向将来
v.促进；转寄；运送
n.前锋
","1. Army roadblocks prevented any further forward movement .
有军队的路障，不能继续前行了。
2. Always enter or leave a helicopter from a forward direction.
一定要从正侧方上下直升机。
"
notice,I waved but they took no notice.,我挥了挥手，可是他们没有注意到。,"n.通知，布告；注意；公告
v.通知；注意到；留心
","1. I waved but they took no notice.
我挥了挥手，可是他们没有注意到。
2. I hope you’ll take notice of what I’m going to tell you.
我希望你留心听我下面要对你讲的话。
3. This problem may have escaped your notice so far (= you may not have noticed it ).
可能你还没有注意到这个问题。
4. This never came to my notice (= I never knew about this ).
我从来没有注意到这一点。
5. There are several important matters that I’d like to bring to your notice (= that I would like you to know about ).
有几件重要的事我想提醒你注意。
"
fun,There’s plenty of fun for all the family.,可以让全家人玩得很开心。,"n.乐趣；玩笑；有趣的人或事
adj.供娱乐用的
vi.开玩笑
","1. There’s plenty of fun for all the family.
可以让全家人玩得很开心。
2. The children were having so much fun, I hated to call them inside.
小孩子玩得很开心，我不忍心把他们叫进来。
"
fortune,I had the good fortune to work with a brilliant head of department.,我有幸与一位出色的部门主管共事。,"n.财富；命运；运气
vt.给予财富
vi.偶然发生
","1. I had the good fortune to work with a brilliant head of department.
我有幸与一位出色的部门主管共事。
2. Sickness or ill fortune could reduce you to a needy situation.
疾病或厄运会让你穷困潦倒。
3. I felt it was useless to struggle against fortune.
我觉得跟命运抗争是徒劳的。
"
rich,Rich mineral deposits have been found in the sea bed.,海底发现有丰富的矿床。,"adj.富有的；肥沃的；昂贵的
n.(Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
","1. Rich mineral deposits have been found in the sea bed.
海底发现有丰富的矿床。
2. Red meat is a rich source of iron.
红肉含有大量铁质。
3. This is a system in which the rich are taken care of and the poor are left to suffer.
这是个富人受关照，而穷人遭罪的制度。
"
safety,"You shouldn’t travel alone, for safety’s sake .",为安全起见，不要独自一人旅行。,"n.安全；保险；安全设备；保险装置；安打
","1. You shouldn’t travel alone, for safety’s sake .
为安全起见，不要独自一人旅行。
2. For your own safety , please do not smoke inside the plane.
为了您自身的安全，请不要在飞机上吸烟。
"
notion,She had no notion what he meant.,她根本不明白他是什么意思。,"n.概念；见解；打算
","1. She had no notion what he meant.
她根本不明白他是什么意思。
"
prospect,"I had no job, no education, and no prospects .",我没有工作，没受过什么教育，前途渺茫。,"n.前途；预期；景色
v.勘探，找矿
","1. I had no job, no education, and no prospects .
我没有工作，没受过什么教育，前途渺茫。
"
juvenile,juvenile crime,少年犯罪,"adj.青少年的；幼稚的
n.青少年；少年读物
","1. juvenile crime
少年犯罪
2. a juvenile court
少年法院[法庭]
3. The number of juveniles in the general population has fallen by a fifth in the past 10 years.
在过去的10年中，青少年在总人口中所占的比重下降了1/5。
"
fulfill,,,"v.履行；实现；满足；使结束（等于fulfil）
",
explore,Management need to explore ways of improving office security.,管理层需要探讨如何加强办事处的安全措施。,"v.探索；探测；探险
","1. Management need to explore ways of improving office security.
管理层需要探讨如何加强办事处的安全措施。
2. I’m going to explore the possibility of a part-time job.
我要好好想想兼职工作的可能性。
"
enable,The new test should enable doctors to detect the disease early.,新的检验使医生能在早期发现该种疾病。,"v.使能够，使成为可能；授予权利或方法
","1. The new test should enable doctors to detect the disease early.
新的检验使医生能在早期发现该种疾病。
"
solution,The best solution would be for them to separate.,最好的解决方法是他们分开。,"n.解决方案；溶液；溶解；解答
","1. The best solution would be for them to separate.
最好的解决方法是他们分开。
"
affair,Are you interested in world affairs?,你对世界大事感兴趣吗？,"n.事情；事务；私事；（尤指关系不长久的）风流韵事
","1. Are you interested in world affairs?
你对世界大事感兴趣吗？
2. the Ministry of Foreign Affairs
外交部
3. Women had little role in public affairs.
女性过去几乎不参与公共事务。
"
slow,The car was travelling at a very slow speed.,汽车正以非常慢的速度行驶。,"adj.慢的；减速的；迟钝的
v.变慢；变萧条
adv.慢慢地；迟缓地
n.(Slow)人名；(英)斯洛
","1. The car was travelling at a very slow speed.
汽车正以非常慢的速度行驶。
2. a slow walker
慢慢走着的人
3. The economy faces a year of slower growth.
经济将面临增长更缓慢的一年。
4. Take a few deep, slow breaths.
慢慢地深吸几口气。
5. I began to walk slower and slower.
我开始走得越来越慢。
"
aware,Mr Braley has been made aware of the need for absolute secrecy.,布雷利先生被告知需要绝对保密。,"adj.意识到的；知道的；有…方面知识的；懂世故的
n.(Aware)人名；(阿拉伯、索)阿瓦雷
","1. Mr Braley has been made aware of the need for absolute secrecy.
布雷利先生被告知需要绝对保密。
2. As you are aware, a fee will be charged annually.
正如你所知道的那样，每年都要收取一笔费用。
"
ticket,How much does it say on the price ticket ?,价签上标明的价格是多少？,"n.票；入场券，标签；（美）候选人名单；证明书；交通罚款单
v.加标签于；指派；对…开出交通违规罚单
","1. How much does it say on the price ticket ?
价签上标明的价格是多少？
"
immune,"Once we’ve had the disease, we’re immune for life.",我们一旦得过这种病，就获得了终身免疫力。,"adj.免疫的；免于……的，免除的
n.免疫者；免除者
","1. Once we’ve had the disease, we’re immune for life.
我们一旦得过这种病，就获得了终身免疫力。
"
phrase,Who first used the phrase ‘survival of the fittest’?,“适者生存”这一说法最早是谁说的？,"n.短语, 习语, 措辞, 乐句
v.措词, 将(乐曲)分成乐句
","1. Who first used the phrase ‘survival of the fittest’?
“适者生存”这一说法最早是谁说的？
2. Shakespeare’s plays are full of well-known phrases .
莎士比亚的戏剧中写满了众所周知的名言警句。
"
leading,The army played a leading role in organizing the attempted coup.,军队在策划这场未遂政变的过程中起了最主要的作用。,"adj.领导的；主要的
n.领导；铅板；行距
v.领导（lead的ing形式）
","1. The army played a leading role in organizing the attempted coup.
军队在策划这场未遂政变的过程中起了最主要的作用。
2. the leading industrial nations
主要的工业国
3. a leading heart specialist
最好的心脏病专家
4. leading members of the government
政府要员
"
expand,The computer industry has expanded greatly over the last decade.,计算机行业在过去十年间大大地发展起来。,"v.扩张；使膨胀；详述
","1. The computer industry has expanded greatly over the last decade.
计算机行业在过去十年间大大地发展起来。
2. The hotel wants to expand its business by adding a swimming pool.
该酒店想添个游泳池来扩展业务。
3. the rapidly expanding field of information technology
迅速发展的信息技术领域
"
tip,Did you tip the waiter?,你给侍应生小费了吗？,"v.给小费；翻倒；倾覆
n.小费；尖端；小建议，小窍门；轻拍
","1. Did you tip the waiter?
你给侍应生小费了吗？
"
propose,the changes currently proposed by the local planning authorities,目前由地方规划局提议的改革,"v.建议；打算，计划；求婚
","1. the changes currently proposed by the local planning authorities
目前由地方规划局提议的改革
2. the proposed budget cuts
所提出的预算削减
"
budget,We had a really tight budget .,我们的预算很紧。,"n.预算，预算费
v.安排，预定；把…编入预算
adj.廉价的
","1. We had a really tight budget .
我们的预算很紧。
"
die,He died in 1985 at the age of 76.,他1985年去世，终年76岁。,"v.死亡；凋零；熄灭
n.冲模，钢模；骰子
","1. He died in 1985 at the age of 76.
他1985年去世，终年76岁。
2. Her father died suddenly in an accident when she was only ten.
她年仅10岁时父亲突然死于一场意外事故。
3. She died peacefully in her sleep at the age of 98.
她在睡眠中安然辞世，享年98岁。
4. The bullet went straight through his head, and he died instantly .
子弹穿过他的头部，他当场死亡。
"
transform,Increased population has transformed the landscape.,人口的增加使景观发生了变化。,"v.改变，使…变形；转换
","1. Increased population has transformed the landscape.
人口的增加使景观发生了变化。
"
join,Many sacrificed their weekend to join the hunt for the missing girl.,许多人牺牲周末时间，加入了寻找失踪女孩的行动。,"v.参加；结合；连接
n.结合；连接；接合点
","1. Many sacrificed their weekend to join the hunt for the missing girl.
许多人牺牲周末时间，加入了寻找失踪女孩的行动。
2. the benefits of joining our pension scheme
参加我们的退休金计划的好处
3. Church leaders have joined the campaign to end foxhunting.
教会领袖参与了禁止猎狐的运动。
"
priority,The club’s priority is to win the League.,该俱乐部首先考虑的是要赢得联赛。,"n.优先；优先权；[数] 优先次序；优先考虑的事
","1. The club’s priority is to win the League.
该俱乐部首先考虑的是要赢得联赛。
2. After several burglaries in the area, security is now a high priority (= very important and needing attention soon ) .
该地区发生了几宗入室盗窃案以后，治安成了当务之急。
3. With so little money available, repairs must remain a low priority (= not important and not needing attention soon ) .
可用的钱这么少，只好暂时放下维修事宜了。
4. The customer is high on our list of priorities .
顾客在我们的心目中排在第一位。
5. List your tasks in order of priority (= most important first ) .
按照轻重缓急列出你的工作。
"
dominate,The industry is dominated by five multinational companies.,这个行业受五家跨国公司控制。,"v.控制；支配；占优势；在…中占主要地位
","1. The industry is dominated by five multinational companies.
这个行业受五家跨国公司控制。
2. New Orleans dominated throughout the game.
新奥尔良队自始至终都控制着这场比赛。
3. Her loud voice totally dominated the conversation.
她的大嗓门完全主导着这场谈话。
4. Education issues dominated the election campaign.
教育问题成了这次选举活动的主要辩题。
"
lower,Do you think we should lower the price?,你觉得我们应该降价吗？,"v.减弱，减少；放下，降下；贬低
adj.下游的；下级的；下等的
n.(Lower)人名；(英、意)洛厄
","1. Do you think we should lower the price?
你觉得我们应该降价吗？
2. After 20 minutes lower the temperature to 325˚.
20分钟后，把温度降到325度。
3. drugs to lower blood pressure
降血压药
4. Helen lowered her voice (= made it quieter ) as they approached.
他们走近时，海伦压低了嗓音。
5. His voice lowered (= became quieter ) .
他声音轻了下来。
"
category,people in the over-45 age category,属45岁以上年龄组的人,"n.种类，分类；[数] 范畴
","1. people in the over-45 age category
属45岁以上年龄组的人
2. Seats are available in eight of the ten price categories .
座位共有10种票价，现有8种可售。
3. Williams’ style does not fit easily into the category of jazz.
威廉斯的风格不能轻易归入爵士乐的范畴。
"
branch,"When you reach the village green, the street branches into two .",到了村中心的公共草地，这条街就分岔成两条路。,"v.分支；出现分歧
n.树枝，分枝；分部；支流
","1. When you reach the village green, the street branches into two .
到了村中心的公共草地，这条街就分岔成两条路。
"
significant,His most significant political achievement was the abolition of the death penalty.,他政治上最重大的成就是废除了死刑。,"adj.重大的；有效的；有意义的；值得注意的；意味深长的
n.象征；有意义的事物
","1. His most significant political achievement was the abolition of the death penalty.
他政治上最重大的成就是废除了死刑。
2. Please inform us if there are any significant changes in your plans.
你们的计划如有重大变动，请通知我们。
"
imply,an implied threat,隐含的威胁,"v.意味；暗示；隐含
","1. an implied threat
隐含的威胁
"
endeavor,"She improved visibly from day to day, until Martin wondered if he was doing right, for he knew that all her compliance and endeavor was for his sake.",她一天比一天进步了，直到马丁怀疑起自己的做法是否得体。 因为他明白她的这一切迁就和努力都是为了他。,"n.努力；尽力（等于endeavour）
v.努力；尽力（等于endeavour）
","1. She improved visibly from day to day, until Martin wondered if he was doing right, for he knew that all her compliance and endeavor was for his sake.
她一天比一天进步了，直到马丁怀疑起自己的做法是否得体。 因为他明白她的这一切迁就和努力都是为了他。
2. The energy, the faith, the devotion which we bring to this endeavor will light our country and all who serve it -- and the glow from that fire can truly light the world.
我们在这场努力中所献出的精力、信念与虔诚、将照亮我们的国家以及所有为国家服务的人，而从这一火焰所聚出的光辉必能照明全世界。
3. We cannot succeed in this endeavor alone, but we can lead it.
我们不可能独自完成这项努力，但我们可以发挥带头作用。
"
sex,All you see on TV is sex and violence these days.,如今在电视上看到的尽是性和暴力。,"n.性；性别；性行为；色情
v.引起…的性欲；区别…的性别
","1. All you see on TV is sex and violence these days.
如今在电视上看到的尽是性和暴力。
2. They had sex in the back seat of his car.
他们在他的汽车后座上做了爱。
3. She no longer wanted to have sex with him.
她再也不想和他做爱了。
4. the dangers of casual sex
性关系随便的危险性
"
actor,His father was an actor in the Cantonese Opera Company.,他父亲曾是粤剧团的一名演员。,"n.男演员；行动者；作用物
","1. His father was an actor in the Cantonese Opera Company.
他父亲曾是粤剧团的一名演员。
"
counsel,He had always been able to count on her wise counsel.,他总是能够指望她明智的忠告。,"n.法律顾问；忠告；商议；讨论；决策
v.建议；劝告
","1. He had always been able to count on her wise counsel.
他总是能够指望她明智的忠告。
"
conventional,Internet connections through conventional phone lines are fairly slow.,通过传统的电话线来连接因特网速度很慢。,"adj.符合习俗的，传统的；常见的；惯例的
","1. Internet connections through conventional phone lines are fairly slow.
通过传统的电话线来连接因特网速度很慢。
2. Bake for 20 minutes in a conventional oven; 8 in a microwave.
在传统的烤炉中烘烤20分钟，在微波炉里则烤8分钟。
"
evolve,Animals have evolved camouflage to protect themselves from predators.,动物进化形成了伪装，以保护自身不被捕食性动物所捕食。,"v.发展，进化；进化；使逐步形成；推断出
","1. Animals have evolved camouflage to protect themselves from predators.
动物进化形成了伪装，以保护自身不被捕食性动物所捕食。
"
worst,This is the worst recession for fifty years.,这是50年来最严重的一次经济衰退。,"adj.最差的，最坏的；最不利的；效能最低的
n.最坏；最坏的时候
adv.最坏地；最不利地
","1. This is the worst recession for fifty years.
这是50年来最严重的一次经济衰退。
2. My worst fear was that we would run out of food.
我最大的担忧是我们会把食物吃光。
3. What is the worst possible thing that can happen?
最糟可能会发生什么事？
"
estimate,Try to estimate how many steps it will take to get to a close object.,估计一下需要多少步才能到达一个近距目标。,"v.估计，估价
n.估计，估价；判断，看法
","1. Try to estimate how many steps it will take to get to a close object.
估计一下需要多少步才能到达一个近距目标。
"
assess,The test was to assess aptitude rather than academic achievement.,该测试将评估能力而不是学业成绩。,"v.评定；估价；对…征税
","1. The test was to assess aptitude rather than academic achievement.
该测试将评估能力而不是学业成绩。
"
instance,"We need to rethink the way we consume energy. Take, for instance, our approach to transport.",我们需要重新考虑我们使用能源的方式，例如我们的运输方式。,"n.实例；情况；建议
v.举为例
","1. We need to rethink the way we consume energy. Take, for instance, our approach to transport.
我们需要重新考虑我们使用能源的方式，例如我们的运输方式。
"
criticize,Ron does nothing but criticize and complain all the time.,罗恩什么也不干，只是一味指责和抱怨。,"v.批评；评论；非难
","1. Ron does nothing but criticize and complain all the time.
罗恩什么也不干，只是一味指责和抱怨。
2. The new law has been widely criticized .
这项新法律受到了广泛的批评。
"
dedicate,"For the next few years, she dedicated herself to her work.",随后的几年里，她全身心地投入工作。,"v.致力；献身；题献
","1. For the next few years, she dedicated herself to her work.
随后的几年里，她全身心地投入工作。
"
compromise,She admitted that she was unable to compromise.,她承认自己无法作出妥协。,"v.妥协；危害
n.妥协，和解；折衷
","1. She admitted that she was unable to compromise.
她承认自己无法作出妥协。
"
premier,one of Dublin’s premier hotels,都柏林最好的酒店之一,"adj.第一的；最初的
n.总理，首相
","1. one of Dublin’s premier hotels
都柏林最好的酒店之一
"
salary,"The average salary for a teacher is $39,000 a year.","教师的平均工资是39,000美元一年。","vt.给加薪；给薪水
n.薪水
","1. The average salary for a teacher is $39,000 a year.
教师的平均工资是39,000美元一年。
"
planet,The picture shows six of the nine planets in the solar system.,这张图片展示太阳系9个行星中的6个行星。,"n.行星
","1. The picture shows six of the nine planets in the solar system.
这张图片展示太阳系9个行星中的6个行星。
"
lobby,a hotel lobby,宾馆大堂,"n.大厅；休息室；会客室；游说议员的团体
v.对……进行游说
","1. a hotel lobby
宾馆大堂
2. I’ll meet you in the entrance lobby.
我们在入口大厅见。
"
smile,her smiling face,她的笑脸,"v.微笑
n.微笑；笑容；喜色
","1. her smiling face
她的笑脸
"
furthermore,"He is old and unpopular. Furthermore, he has at best only two years of political life ahead of him.",他年纪已老，又不得人心，而且他最多也只有两年的政治生命了。,"adv.此外；而且
","1. He is old and unpopular. Furthermore, he has at best only two years of political life ahead of him.
他年纪已老，又不得人心，而且他最多也只有两年的政治生命了。
"
bet,a £50 bet,50英镑的赌注,"n.打赌，赌注；被打赌的事物
v.打赌；敢断定，确信
","1. a £50 bet
50英镑的赌注
2. Bookmakers are already taking bets on the outcome.
马票商已经开始接受对比赛结果的下注了。
"
competitive,Competitive sports encourage children to work together as a team.,竞技体育鼓励孩子们进行团队协作。,"adj.竞争的；比赛的；求胜心切的
","1. Competitive sports encourage children to work together as a team.
竞技体育鼓励孩子们进行团队协作。
"
bush,a rose bush,玫瑰丛,"n.灌木；矮树丛
v.以灌木装饰；使…精疲力竭
adj.如灌木般长得低矮的；粗野的
","1. a rose bush
玫瑰丛
2. The child was hiding in the bushes.
那孩子躲在灌木丛里。
"
connection,Police have so far failed to establish a connection between the two murders.,到目前为止警方尚未确定两宗凶杀案之间有关联。,"n.连接；关系；人脉；连接件
","1. Police have so far failed to establish a connection between the two murders.
到目前为止警方尚未确定两宗凶杀案之间有关联。
2. The evidence was there in the file but no one made the connection .
证据就在档案里，但没有人把它们联系起来。
3. Students often see little connection between school and the rest of their lives.
学生往往看不到上学和今后生活的联系。
4. He demonstrated the close connection between social conditions and health.
他证明了社会条件和健康之间的密切联系。
"
picture,The room had several pictures on the walls.,那个房间墙上有几幅画。,"n.照片，图画；影片；景色；化身
v.画；想像；描写
","1. The room had several pictures on the walls.
那个房间墙上有几幅画。
2. a book with pictures in it
带插图的书
3. He asked her permission to paint her picture (= paint a picture of her ) .
他请求她允许为她画像。
"
cognitive,cognitive psychology,认知心理学,"adj.认知的，认识的
","1. cognitive psychology
认知心理学
"
aim,Denver aimed his gun but did not shoot.,丹佛举枪瞄准，但是没有射击。,"v.目的在于；引导；把…对准
n.目的；目标；对准
","1. Denver aimed his gun but did not shoot.
丹佛举枪瞄准，但是没有射击。
"
afford,The room affords a beautiful view over the city.,这房间可以俯瞰城市美景。,"v.给予，提供；买得起
n.(Afford)人名；(英)阿福德
","1. The room affords a beautiful view over the city.
这房间可以俯瞰城市美景。
2. The new law will afford protection to employees.
新法律将为雇员提供保障。
"
cite,The passage cited above is from a Robert Frost poem.,以上的引文出自罗伯特•弗罗斯特的一首诗。,"v.引用；传讯；想起；表彰
","1. The passage cited above is from a Robert Frost poem.
以上的引文出自罗伯特•弗罗斯特的一首诗。
"
typical,typical British weather,典型的英国天气,"adj.典型的；特有的；象征性的
","1. typical British weather
典型的英国天气
2. This advertisement is a typical example of their marketing strategy.
这则广告是他们营销策略的一个典型例子。
"
movement,It's part of a broader nationalist movement that's gaining strength throughout the country.,这是一场正在全国范围内日益壮大的更为广泛的民族主义运动的一部分。,"n.运动；活动；运转；乐章
","1. It's part of a broader nationalist movement that's gaining strength throughout the country.
这是一场正在全国范围内日益壮大的更为广泛的民族主义运动的一部分。
"
commerce,measures promoting local commerce and industry,促进地方工商业发展的措施,"n.贸易；商业；商务
","1. measures promoting local commerce and industry
促进地方工商业发展的措施
"
universal,free universal healthcare,免费的全民保健制度,"adj.普遍的；通用的；宇宙的；全世界的；全体的
n.一般概念；普通性
","1. free universal healthcare
免费的全民保健制度
2. These stories have universal appeal.
这些故事人人都喜欢。
3. a topic of universal interest
人们普遍感兴趣的一个话题
4. a democracy based on universal suffrage
建立在普选权上的民主
"
nose,Someone punched him on the nose.,有人一拳打在他的鼻子上。,"n.鼻子；嗅觉；突出的部分；探问
v.嗅；用鼻子触
","1. Someone punched him on the nose.
有人一拳打在他的鼻子上。
"
restore,She was hoping that the Mediterranean climate would restore her to full health.,她希望地中海的气候能使她的身体完全复原。,"v.恢复；修复；归还
","1. She was hoping that the Mediterranean climate would restore her to full health.
她希望地中海的气候能使她的身体完全复原。
2. The National Guard was called in to restore order (= make people stop fighting and breaking the law ) when riots broke out.
暴乱爆发后，国民警卫队被调来恢复秩序。
3. initiatives to restore peace in the Middle East
恢复中东和平的倡议
"
quarter,It’s about a page and a quarter.,大概是一又四分之一页。,"n.四分之一；地区；季度；一刻钟；两角五分；节
v.住宿；驻扎
num.四分之一
","1. It’s about a page and a quarter.
大概是一又四分之一页。
2. Cut the cake into quarters.
把蛋糕切成四等份。
"
significance,Ideas about the social significance of religion have changed over time.,有关宗教的社会意义的观念已随时间的流逝发生了改变。,"n.意义；重要性；意思
","1. Ideas about the social significance of religion have changed over time.
有关宗教的社会意义的观念已随时间的流逝发生了改变。
"
elite,a struggle for power within the ruling elite ,统治阶层内部的争权夺利,"n.精英；精华；中坚分子
","1. a struggle for power within the ruling elite 
统治阶层内部的争权夺利
"
permission,He asked permission to leave the room.,他请求离开房间的许可。,"n.允许，许可
","1. He asked permission to leave the room.
他请求离开房间的许可。
2. They cannot leave the country without permission.
没有许可他们不得离开这个国家。
"
regulation,There seem to be so many rules and regulations these days.,如今好像条条框框很多。,"n.管理；规则；校准
adj.规定的；平常的
","1. There seem to be so many rules and regulations these days.
如今好像条条框框很多。
2. regulations governing the safety of toys
监控玩具安全的条例
3. All companies must comply with the regulations .
所有公司都必须遵守规定。
"
quote,He quoted a short passage from the Bible.,他引用了《圣经》里的一小段。,"v.报价；引述；举证
n.引用
","1. He quoted a short passage from the Bible.
他引用了《圣经》里的一小段。
2. A military spokesman was quoted as saying that the border area is now safe.
报道引述军方一位发言人的话，说边境地区现在很安全。
"
monopoly,a monopoly in copper trading,对铜交易的垄断,"n.垄断；垄断者；专卖权
","1. a monopoly in copper trading
对铜交易的垄断
"
anxiety,his feelings of anxiety,他焦虑的心情,"n.焦虑；渴望；挂念；令人焦虑的事
","1. his feelings of anxiety
他焦虑的心情
2. A high level of anxiety was created by the introduction of cameras into the factory.
工厂安装了摄像头，这引起了工人的高度不安。
3. It can help if you discuss your anxieties with someone.
与别人谈谈自己的忧虑会有帮助的。
"
save,He managed to save enough to buy a small house.,他想办法攒够钱买了一幢小房子。,"v.节省；保存；储蓄；解救
prep.除之外
n.救援
","1. He managed to save enough to buy a small house.
他想办法攒够钱买了一幢小房子。
2. So far, I’ve saved about £500.
到目前为止，我已存了大约500英镑。
"
minister,a senior Cabinet minister,资深的内阁部长,"n.部长；大臣；牧师
v.执行牧师职务；辅助或伺候某人
","1. a senior Cabinet minister
资深的内阁部长
"
character,He has a cheerful but quiet character.,他的性格乐观文静。,"n.性格，品质；特性；角色；[计] 字符
v.印，刻；使具有特征
","1. He has a cheerful but quiet character.
他的性格乐观文静。
2. Children grow up with a mixture of character traits (= character qualities ) from both sides of their family.
儿童在成长过程中会把父母亲双方的性格特点都继承下来。
3. his temper and other character flaws
他的火爆脾气和其他性格缺陷
"
highly,Tom’s mother was highly critical of the school’s approach.,汤姆的母亲对学校的处理方法持强烈的批评态度。,"adv.高度地；非常；非常赞许地
","1. Tom’s mother was highly critical of the school’s approach.
汤姆的母亲对学校的处理方法持强烈的批评态度。
2. highly competitive industries
竞争非常激烈的行业
3. a highly desirable neighborhood
宜居的街区
4. T.S. Eliot’s highly influential poem, ‘The Waste Land’ T.S.
艾略特极有影响力的诗作《荒原》
5. a highly controversial issue
有很大争议的问题
"
west,There’s a slight chance of some sunshine in the west.,西部地区见晴的可能性不大。,"n.西；西方；西部
adj.西方的；朝西的
adv.在西方；向西方；自西方
","1. There’s a slight chance of some sunshine in the west.
西部地区见晴的可能性不大。
"
undergraduate,second-year undergraduates,大学二年级学生,"n.大学生；大学肄业生
adj.大学生的
","1. second-year undergraduates
大学二年级学生
"
arouse,Matt’s behavior was arousing the interest of the neighbors.,马特的行为渐渐引起了邻居的兴趣。,"v.引起；唤醒；鼓励
","1. Matt’s behavior was arousing the interest of the neighbors.
马特的行为渐渐引起了邻居的兴趣。
"
exert,They exerted considerable influence within the school.,他们在校内施加了很大的影响力。,"v.运用，发挥；施以影响
","1. They exerted considerable influence within the school.
他们在校内施加了很大的影响力。
2. Environmental groups are exerting pressure on the government to tighten pollution laws.
环境保护组织在向政府施加压力，要求从严执行环保法律法规。
"
seat,I was in the back seat and Jo was driving.,我在后座，乔开车。,"n.座位；所在地；职位
v.使…坐下；可容纳…的；使就职
","1. I was in the back seat and Jo was driving.
我在后座，乔开车。
2. a 10,000-seat stadium
万人体育场
3. People were shifting in their seats, looking uncomfortable.
人们在座位上动来动去，看上去不大自在。
4. He waved toward a chair, and seated himself at the desk.
他朝一把椅子一挥手，在桌旁坐了下来。
"
