word,word_sen,word_sen_trans,trans,example
carry,The ship was carrying drugs.,这艘船上载有毒品。,"v.运送,搬运
","1. The ship was carrying drugs.
这艘船上载有毒品。
2. There are more airplanes carrying more people than ever before.
飞机数量和载客数量都是前所未有的。
"
membership,You should carry your membership card with you at all times.,你应该随身携带会员卡。,"n.会员资格,成员资格
","1. You should carry your membership card with you at all times.
你应该随身携带会员卡。
2. Membership fees are being increased this year.
会费今年提高了。
"
geology,He was visiting professor of geology at the University of Georgia.,他曾是佐治亚大学的地质学客座教授。,"n.地质(学)
","1. He was visiting professor of geology at the University of Georgia.
他曾是佐治亚大学的地质学客座教授。
"
certain,I felt certain that I’d passed the test.,我感觉自己肯定通过这次测验了。,"adj.一定的,确信的,可靠的
","1. I felt certain that I’d passed the test.
我感觉自己肯定通过这次测验了。
"
indicate,The study indicates a connection between poverty and crime.,研究显示贫穷和犯罪有关联。,"v.表明，显示；指出,指示；表明,暗示
","1. The study indicates a connection between poverty and crime.
研究显示贫穷和犯罪有关联。
2. That’s her,’ said Toby, indicating a girl on the other side of the room. “
“就是她。”托比指着房间另一端的一个女孩说。
3. Mr. Rivers has indicated that he may resign.
里弗斯先生已经暗示他可能要辞职。
"
monotonous,a monotonous diet,单调的饮食,"adj.单调的,无变化的
","1. a monotonous diet
单调的饮食
2. a little boy who wet his bed with monotonous regularity
一个老是尿床的小男孩
"
miracle,It’s a miracle you weren’t killed!,你没有死真是奇迹！,"n.奇迹,令人惊奇的人(或事)
","1. It’s a miracle you weren’t killed!
你没有死真是奇迹！
2. By some miracle, we managed to catch the plane.
我们奇迹般地赶上了飞机。
3. the economic miracle of the 1950s
20世纪50年代的经济奇迹
4. She’s our miracle baby.
她是我们的奇迹宝宝。
"
deduct,The company deducted this payment from his compensation.,公司从他的补偿金中扣除了这笔款项。,"v.扣除
","1. The company deducted this payment from his compensation.
公司从他的补偿金中扣除了这笔款项。
"
produce,New drugs are producing remarkable results .,新药正在产生显著的效果。,"v.引起，导致；制造；制作；创作
n.产品
","1. New drugs are producing remarkable results .
新药正在产生显著的效果。
2. a rise in sea level produced by climatic change
由气候变化引起的海平面升高
3. As a policy, it did not produce the desired effect .
作为一项政策，它并未产生预期的效果。
4. The factory produces an incredible 100 cars per hour.
那家工厂一小时生产100辆汽车，令人难以置信。
5. fresh local produce
新鲜的本地农产品
"
temptation,Resist the temptation to buy the item until you’re certain you need it.,要抵挡住购买的诱惑，除非你确有需要。,"n.引诱，诱惑；诱惑物
","1. Resist the temptation to buy the item until you’re certain you need it.
要抵挡住购买的诱惑，除非你确有需要。
2. I finally gave in to the temptation and had a cigarette.
我最终还是屈从诱惑，抽了一支烟。
"
prospect,"I had no job, no education, and no prospects .",我没有工作，没受过什么教育，前途渺茫。,"n.前途,展望；前景
","1. I had no job, no education, and no prospects .
我没有工作，没受过什么教育，前途渺茫。
2. The prospect of marriage terrified Alice.
想到要结婚，艾丽斯害怕极了。
"
simultaneous,They grabbed each other’s hands in simultaneous panic.,他们俩同时惊慌起来，相互抓住对方的手。,"adj.同时的,同时存在的
","1. They grabbed each other’s hands in simultaneous panic.
他们俩同时惊慌起来，相互抓住对方的手。
2. Up to twenty users can have simultaneous access to the system.
最多可有20名用户同时登该系统。
3. The speeches will be broadcast live, with simultaneous translation (= immediate translation, as the person is speaking ) into English.
这些演讲将作现场直播，并配有英语同声传译。
"
subsidy,European farmers are planning a massive demonstration against farm subsidy cuts.,欧洲的农场主们正在策划一场反对削减农场补贴的大游行。,"n.补助金；津贴费
","1. European farmers are planning a massive demonstration against farm subsidy cuts.
欧洲的农场主们正在策划一场反对削减农场补贴的大游行。
"
underestimate,None of us should ever underestimate the degree of difficulty women face in career advancement.,我们谁都不应低估妇女在职业发展中所面临的困难程度。,"v.低估，看轻
","1. None of us should ever underestimate the degree of difficulty women face in career advancement.
我们谁都不应低估妇女在职业发展中所面临的困难程度。
"
obligation,Employers have an obligation to treat all employees equally.,雇主有责任对所有员工一视同仁。,"n.义务,责任
","1. Employers have an obligation to treat all employees equally.
雇主有责任对所有员工一视同仁。
2. Parents are under a legal obligation to educate their children.
家长对子女的教育负有法律责任。
3. You are under no obligation to buy any more books.
你不必非要买更多的书。
4. Greater resources are needed to meet these obligations.
履行这些义务需要更多的资源。
5. the rights and obligations imposed on them by treaties
条约给他们规定的权利和义务
6. The government must pay for health care for war veterans – it is an obligation we owe to them.
政府必须为退伍军人支付医疗保健费用——这是我们对他们负有的义务。
7. a moral obligation to help the poor
帮助穷人的道德义务
8. He stayed with the team out of a sense of obligation.
他出于责任感而留在队里。
"
sample,They took a blood sample to test for hepatitis.,他们取了血样做肝炎化验。,"n.样品,标本,抽样检查
v.取样,采样
","1. They took a blood sample to test for hepatitis.
他们取了血样做肝炎化验。
2. 18% of the adults sampled admitted having had problems with alcohol abuse.
在接受抽样调查的成年人中有18%承认有过酗酒问题。
"
manufacture,the company that manufactured the drug,生产这种药的公司,"v.制造,加工
n.制造,制造业
","1. the company that manufactured the drug
生产这种药的公司
2. manufactured goods
工业品，制成品
3. Cost will determine the methods of manufacture.
成本将决定生产方法。
"
interval,"He left the room, returning after a short interval with a message.",他离开房间，过了一会儿就带回来一条消息。,"n.间隔,间歇
","1. He left the room, returning after a short interval with a message.
他离开房间，过了一会儿就带回来一条消息。
"
action,The government must take action (=  do something  ) now to stop the rise in violent crime.,政府现在必须采取行动遏止暴力犯罪的上升。,"n.行动；行为；战斗
","1. The government must take action (=  do something  ) now to stop the rise in violent crime.
政府现在必须采取行动遏止暴力犯罪的上升。
2. She was looking forward to putting her ideas into action (=  doing the things she had planned  ) .
她盼望着将自己的想法付诸实施。
3. Ambulance crews are ready to spring into action (=  suddenly start doing something  ) if anything goes wrong during the race.
救护车急救人员随时准备出动，以应对比赛期间发生的意外。
4. The child could not be held responsible for his actions (= he was too young to be blamed for them ) .
不能要求这个小孩对自己的行为负责。
5. There have been reports of widespread enemy action in the area.
据报敌军在该地区开展大规模行动。
"
increasingly,Marketing techniques are becoming increasingly sophisticated.,市场营销技巧越来越巧妙。,"adv.不断增加地,日益
","1. Marketing techniques are becoming increasingly sophisticated.
市场营销技巧越来越巧妙。
2. Increasingly, young people distrust all forms of government.
年轻人越来越不相信任何形式的政府。
"
confuse,People might well confuse the two products.,人们很容易混淆这两种产品。,"v.使混乱,混淆
","1. People might well confuse the two products.
人们很容易混淆这两种产品。
"
base,a wine glass with a heavy base,一个杯底厚实的葡萄酒杯,"n.基础,底部；根据地
v.(on)把…基于
","1. a wine glass with a heavy base
一个杯底厚实的葡萄酒杯
2. He used the house as a base for his printing business.
.他把这房子作为他印刷业务的基地。
3. The new organization will be based in Dallas.
这个新的机构总部将设在达拉斯。
"
evolution,the theory of evolution,进化论,"n.进化,演变；发展,进展
","1. the theory of evolution
进化论
2. the evolution of the computer
计算机的发展
"
exclude,a special diet that excludes dairy products,不包含奶制品的特别食谱,"v.拒绝,把…排除在外；排斥
","1. a special diet that excludes dairy products
不包含奶制品的特别食谱
2. The judges decided to exclude evidence which had been unfairly attained.
法官裁决不接纳以不正当手段获取的证据。
3. Sarah heard the other girls talking and laughing and felt excluded.
萨拉听见其他女孩又说又笑，觉得自己受到了排斥。
"
barn,The barn was heaped with grain.,谷仓里堆满了粮食。,"n.谷仓,仓库
","1. The barn was heaped with grain.
谷仓里堆满了粮食。
2. The dilapidated barn detracts charm from the landscape.
圮废失修的谷仓有损景色的美。
3. The grain is liable to mildew when the humidity in the barn is too high.
仓库里潮气太大， 粮食就容易发霉。
"
legislation,This is a very important piece of legislation (= law ).,这是一条非常重要的法规。,"n.法律(规)；立法
","1. This is a very important piece of legislation (= law ).
这是一条非常重要的法规。
"
simple,a simple but effective solution to the problem,对这个问题简单而有效的解决办法,"adj.简单的；迟钝的,头脑简单的
","1. a simple but effective solution to the problem
对这个问题简单而有效的解决办法
2. There is no simple answer to this question.
这个问题没有简单的答案。
3. I’m sure there’s a perfectly simple explanation.
我相信一定有一个很简单的解释。
4. We want to keep the costumes as simple as possible.
我们想使服装尽量简单。
5. We can’t pay people any more money until the company is more profitable. I’m afraid it’s as simple as that .
只有公司赢利更多，我们才能支付更高的报酬。 恐怕就这么简单。
6. I’m afraid Luke’s a bit simple.
我觉得卢克有点笨。
"
pension,At what age can you start drawing your pension ?,从多少岁可以开始领取养老金？,"n.养老金,年金
","1. At what age can you start drawing your pension ?
从多少岁可以开始领取养老金？
2. If you are self-employed, you should think about taking out a private pension .
如果你是自由职业者，应该考虑办理私人养老金事宜。
3. Many people find it hard to live on a basic state pension .
许多人发现仅凭国家基本养老金不能养活自己。
4. She pays a quarter of her salary into a pension plan.
她将每月工资的四分之一用于养老金计划。
"
parade,a victory parade,胜利游行,"n.游行；检阅,阅兵式
v.游行；列队行进
","1. a victory parade
胜利游行
2. the St Patrick’s Day parade
圣帕特里克节庆祝游行
3. a military parade
军事检阅
4. The marchers paraded peacefully through the capital.
游行队伍有秩序地列队穿过首都。
"
prescription,We are trying to cut the price of prescription drugs .,我们正努力降低处方药的价格。,"n.药方,处方
","1. We are trying to cut the price of prescription drugs .
我们正努力降低处方药的价格。
2. a repeat prescription
重复处方
"
heroic,her heroic efforts to save her family,她拯救家人的英勇行为,"adj.英雄的，英勇的，崇高的
","1. her heroic efforts to save her family
她拯救家人的英勇行为
2. Lawrence’s heroic struggle against his destiny
劳伦斯与命运的勇敢抗争
3. She portrayed him as a heroic figure .
她把他描述为英雄人物。
"
modest,You’re too modest! You’ve been a huge help to us.,你太谦虚了！你帮了我们大忙呢。,"adj.谦虚的
","1. You’re too modest! You’ve been a huge help to us.
你太谦虚了！你帮了我们大忙呢。
"
finite,the earth’s finite resources,地球有限的资源,"adj.有限的
","1. the earth’s finite resources
地球有限的资源
"
obscure,obscure legal phrases,费解的法律术语,"adj.模糊的,晦涩的；暗的,朦胧的
","1. obscure legal phrases
费解的法律术语
2. For some obscure reason, the group is very popular.
这个组合莫名其妙地很受欢迎。
"
basement,They bought an old schoolhouse to live in and built a workshop in the basement.,他们买了座旧校舍居住，还在地下室建了个作坊。,"n.建筑物的底部,地下室,地窖
","1. They bought an old schoolhouse to live in and built a workshop in the basement.
他们买了座旧校舍居住，还在地下室建了个作坊。
"
information,I need more information.,我需要更多信息。,"n.情报,资料,消息;信息
","1. I need more information.
我需要更多信息。
"
doctor,She was treated by her local doctor.,她由她的本区医生治疗。,"n.医生；博士
v.窜改，伪造
","1. She was treated by her local doctor.
她由她的本区医生治疗。
2. I’d like to make an appointment to see Dr Pugh.
我想预约看皮尤医生。
3. a Doctor of Law
法学博士
4. They doctored the prints, deepening the lines to make her look as awful as possible.
他们窜改了照片，加深皱纹使她尽可能地难看。
"
urban,unemployment in urban areas,城市地区的失业状况,"adj.城市的, 市内的
","1. unemployment in urban areas
城市地区的失业状况
2. the deprived sections of the urban population
城市人口中的贫困群体
"
preliminary,the preliminary stages of the competition,竞赛的预赛阶段,"adj.预备的,初步的
","1. the preliminary stages of the competition
竞赛的预赛阶段
2. a preliminary draft
初稿
"
viewpoint,Try and think of it from the child’s viewpoint.,尽量从孩子的角度来考虑这件事。,"n.观点
","1. Try and think of it from the child’s viewpoint.
尽量从孩子的角度来考虑这件事。
"
verdict,The verdict was ‘not guilty’.,裁决为“无罪”。,"n.(陪审团的)裁决,判决；判断；定论
","1. The verdict was ‘not guilty’.
裁决为“无罪”。
"
apartment,She lives in a small apartment.,她住在一套小公寓里。,"n.[英]房间，套间；[美]公寓
","1. She lives in a small apartment.
她住在一套小公寓里。
"
concrete,a concrete floor,混凝土地面,"adj.混凝土的；具体的
n.混凝土
","1. a concrete floor
混凝土地面
2. the lack of any concrete evidence
缺少具体证据的
"
verge,The car skidded across the road and came to a stop on the grass verge.,汽车滑过路面，在路缘草带上停了下来。,"n.边,边缘
v.濒临
","1. The car skidded across the road and came to a stop on the grass verge.
汽车滑过路面，在路缘草带上停了下来。
2. His love of James Dean movies verged on fanaticism.
他对詹姆斯·迪恩影片的喜爱近乎狂热。
"
education,She also hopes her children will get a good education.,她也希望她的孩子可以受到良好的教育。,"n.教育,培养
","1. She also hopes her children will get a good education.
她也希望她的孩子可以受到良好的教育。
2. efforts to improve girls’ access to education
为增加女孩受教育机会所作的努力
"
combat,We flew over 200 combat missions in the war.,我们在战争中执行过两百多次战斗飞行任务。,"n.战斗,搏斗,格斗
v.防止，抑制
","1. We flew over 200 combat missions in the war.
我们在战争中执行过两百多次战斗飞行任务。
2. training in unarmed combat
徒手格斗训练
3. new strategies for combatting terrorism
打击恐怖主义的新战略
"
marble,The columns were of white marble.,柱子是白色的大理石。,"n.大理石,云石
","1. The columns were of white marble.
柱子是白色的大理石。
2. a marble statue
大理石雕像
"
medal,She won a gold medal at the last Olympics.,她在上届奥运会上赢得一枚金牌。,"n.奖章,勋章,纪念章
","1. She won a gold medal at the last Olympics.
她在上届奥运会上赢得一枚金牌。
2. The two boys were awarded medals for their bravery.
这两个男孩因勇敢而获得勋章。
"
cycle,a woman’s menstrual cycle,女性的月经周期,"n.周期,循环；自行车
v.骑自行车；循环
","1. a woman’s menstrual cycle
女性的月经周期
2. cycle routes
自行车路线
3. Do you cycle to work?
你骑自行车上班吗？
4. The water is cycled through the machine and reused.
水通过机器循环后重复使用。
"
careful,He was being very careful with the coffee so as not to spill it.,他非常小心地拿着咖啡，以免泼出来。,"adj.小心的,仔细的;细致的,精心的
","1. He was being very careful with the coffee so as not to spill it.
他非常小心地拿着咖啡，以免泼出来。
"
biology,a degree in biology,生物学学位,"n.生物学
","1. a degree in biology
生物学学位
"
classification,the classification of wines according to quality,葡萄酒按品质的分类,"n.分类,分级
","1. the classification of wines according to quality
葡萄酒按品质的分类
2. There are five job classifications.
有五种工作类别。
"
intelligible,His reply was barely intelligible.,他的回复几乎让人听不懂。,"adj.可理解的，明白易懂的，清楚的
","1. His reply was barely intelligible.
他的回复几乎让人听不懂。
"
unexpected,The experiment produced some unexpected results.,这次试验产生了一些意想不到的结果。,"adj.想不到的, 意外的, 未预料到
","1. The experiment produced some unexpected results.
这次试验产生了一些意想不到的结果。
2. Her death was totally unexpected.
她的死完全出人意料。
3. Hague’s announcement was not entirely unexpected.
黑格的声明并非完全出乎意料。
"
economy,a successful economy,发展成功的经济,"n.经济；节约
","1. a successful economy
发展成功的经济
2. the slowdown in the Japanese economy
日本经济的减缓
3. The gas fire was turned low for reasons of economy.
为了节省，把煤气取暖器开小了。
"
discreet,He assured her that he would be discreet.,他向她保证会谨慎行事。,"adj.(言行)谨慎的；慎重的
","1. He assured her that he would be discreet.
他向她保证会谨慎行事。
2. I stood back at a discreet distance.
我谨慎地保持一段距离站在后面。
"
prison,He visits his dad in prison every week.,他每周都去探望狱中的父亲。,"n.监狱
","1. He visits his dad in prison every week.
他每周都去探望狱中的父亲。
2. Ricky has been out of prison for three years now.
里基现已出狱三年。
3. They’ll probably put him in prison for a long time.
他们很可能会让他在监狱里待很长时间。
4. Helen was sent to prison for attacking a man with a knife.
海伦因持刀袭击一名男子而被送入监狱。
5. The two men were arrested only a week after they were released from prison .
那两名男子从监狱获释后仅仅一周就被捕了。
6. Three terrorists escaped from Brixton Prison .
有三名恐怖分子从布里克斯顿监狱越狱了。
7. an increase in the number of women going to prison
入狱女性人数的增多
8. Mr Gunn received a ten year prison sentence .
冈恩先生获刑十年。
"
finger,"The woman had a ring on her finger, so I assumed she was married.",那女人手指上戴着戒指，因此我猜想她已经结婚了。,"n.手指；指状物
","1. The woman had a ring on her finger, so I assumed she was married.
那女人手指上戴着戒指，因此我猜想她已经结婚了。
2. We ate with our fingers.
我们用手抓着吃。
3. chocolate fingers
巧克力条
"
captain,The captain and crew welcome you aboard.,机长和全体机组人员欢迎各位乘坐本次航班。,"n.舰长，船长；机长
v.做…的首领,指挥
","1. The captain and crew welcome you aboard.
机长和全体机组人员欢迎各位乘坐本次航班。
2. He captained the winning team in 1991.
他于1991年率队夺得胜利。
"
sign,a sign on the door,门上的标牌,"n.标记,招牌；征兆,迹象
v.签名(于),署名(于)
","1. a sign on the door
门上的标牌
2. road signs
路标
3. a no smoking sign
禁止吸烟的告示牌
4. Don’t ignore the fog warning signs .
不要忽视雾警标志。
5. There were no signs of forced entry into the house.
没有强行入室的痕迹。
6. You forgot to sign the cheque .
你忘记在支票上签名了。
"
event,one of the most important events in the history of mankind,人类历史上最重大的事件之一,"n.(尤指特殊、重大) 事件
","1. one of the most important events in the history of mankind
人类历史上最重大的事件之一
"
inverse,"Clearly, the amount of money people save increases in inverse proportion to the amount they spend.",显然，人们储蓄的增加与消费成反比。,"adj.相反的,倒转的,反转的
n.相反之物
","1. Clearly, the amount of money people save increases in inverse proportion to the amount they spend.
显然，人们储蓄的增加与消费成反比。
2. the inverse relationship between prices and interest rates
价格和利率之间的反比关系
"
accidental,an accidental discharge of toxic waste,有毒废料的意外排放,"adj.偶然的；意外的；无意中的
","1. an accidental discharge of toxic waste
有毒废料的意外排放
2. Buy an insurance policy that covers accidental damage .
购买一份意外损害保单。
"
certainty,"He usually does quite well, but it’s not a certainty.",通常他都做得相当好，但也并不一定。,"n.必然,肯定;必然的事
","1. He usually does quite well, but it’s not a certainty.
通常他都做得相当好，但也并不一定。
2. The only certainty is that there will need to be major changes.
唯一能够确定的事就是需要重大的变革。
"
refine,Car makers are constantly refining their designs.,汽车制造商在不断完善他们的设计。,"v.改进；完善；精炼,精制,提纯
","1. Car makers are constantly refining their designs.
汽车制造商在不断完善他们的设计。
2. oil refining
石油的提炼
"
spectrum,The two articles here represent opposite ends of the spectrum .,这里的两篇文章代表了两个极端的观点。,"n.范围，幅度；光谱
","1. The two articles here represent opposite ends of the spectrum .
这里的两篇文章代表了两个极端的观点。
2. The two articles here represent opposite ends of the spectrum .
这里的两篇文章代表了两个极端的观点。
"
propose,the changes currently proposed by the local planning authorities,目前由地方规划局提议的改革,"v.提议,建议；提出；求婚
","1. the changes currently proposed by the local planning authorities
目前由地方规划局提议的改革
2. the proposed budget cuts
所提出的预算削减
3. The resolution was proposed by the chairman of the International Committee.
那项决议是由国际委员会主席提出的。
4. Shaun proposed to me only six months after we met.
我们相识仅六个月，肖恩就向我求婚了。
"
recollect,All I recollect is a grey sky.,我只记得一片灰色的天空。,"v.回忆,想起,记起,忆起,记得
","1. All I recollect is a grey sky.
我只记得一片灰色的天空。
"
allow,We don’t allow diving in the pool.,泳池内禁止跳水。,"v.允许，准许；承认
","1. We don’t allow diving in the pool.
泳池内禁止跳水。
2. The judge allowed the evidence.
法官接受了这项证据。
"
custom,"He awoke early, as was his custom.",他很早醒来，这是他的习惯。,"n.习惯,风俗,惯例；(pl.)海关
","1. He awoke early, as was his custom.
他很早醒来，这是他的习惯。
2. She was stopped at customs and questioned.
她在海关被叫住接受问话。
"
temple,...a small Hindu temple.,…一座小的印度教寺庙。,"n.庙宇,神殿,寺；太阳穴
","1. ...a small Hindu temple.
…一座小的印度教寺庙。
"
equivalent,"I had no dollars, but offered him an equivalent amount of sterling.",我没有美金，但给了他等值的英镑。,"adj.(to)相等的,等价的
n.相等物,等价物
","1. I had no dollars, but offered him an equivalent amount of sterling.
我没有美金，但给了他等值的英镑。
2. The word has no equivalent in English.
这个单词在英语中没有对应词。
"
discount,They are often available at a discount.,它们经常可以以折扣价买到。,"n.折扣
v.不重视；打折扣
","1. They are often available at a discount.
它们经常可以以折扣价买到。
2. Experts discounted the accuracy of the polls.
专家对这次民意调查的准确性不以为然。
3. Games were discounted to as little as 5.
游戏减价到只要5美元。
"
comparative,a comparative study of the educational systems of two countries,两国教育制度的比较研究,"adj.比较的,相比的
","1. a comparative study of the educational systems of two countries
两国教育制度的比较研究
"
dictionary,a German-English dictionary,一本德英词典,"n.词典,字典
","1. a German-English dictionary
一本德英词典
"
design,The tower was designed by Gilbert Scott.,这座塔楼是吉尔伯特·斯科特设计的。,"v.设计;构思;绘制
n.设计；图样
","1. The tower was designed by Gilbert Scott.
这座塔楼是吉尔伯特·斯科特设计的。
2. The new plane is in its final design stage.
这种新型飞机正处于最后的设计阶段。
3. the design for the new sports centre
新体育中心的设计图
"
congress,a congress of the ruling Labor Party,执政党工党的代表大会,"n.(代表)大会；国会,议会
","1. a congress of the ruling Labor Party
执政党工党的代表大会
"
vertical,a vertical line,垂直线,"adj.垂直的,竖的
n.垂线,垂直位置
","1. a vertical line
垂直线
2. the vertical axis of a graph
图的纵轴
3. vertical window blinds
垂直百叶窗
4. The wall is several degrees off the vertical.
这堵墙倾斜了有好几度。
"
indignant,an indignant reply,愤慨的回复,"adj.愤慨的,愤慨不平的
","1. an indignant reply
愤慨的回复
"
entertain,Mark usually does the cooking when we entertain.,我们招待客人时通常都是马克下厨。,"v.招待,款待；使娱乐;使欢乐
","1. Mark usually does the cooking when we entertain.
我们招待客人时通常都是马克下厨。
2. Do you get an allowance for entertaining clients?
你招待客户有补助吗？
3. A museum should aim to entertain as well as educate.
博物馆应该致力于成为娱乐和教育功能并重的场所。
"
efficiency,considerable advancements in energy efficiency,能源效率的显著提高,"n.效率；功效
","1. considerable advancements in energy efficiency
能源效率的显著提高
2. operating efficiencies
运营功效
"
loyalty,Elizabeth understood her husband’s loyalty to his sister.,伊丽莎白理解丈夫对他姐姐的一片忠心。,"n.忠诚
","1. Elizabeth understood her husband’s loyalty to his sister.
伊丽莎白理解丈夫对他姐姐的一片忠心。
"
volcano,Pompeii was destroyed when the volcano erupted in 79 AD.,庞贝城于公元79年在火山爆发中毁灭。,"n.火山
","1. Pompeii was destroyed when the volcano erupted in 79 AD.
庞贝城于公元79年在火山爆发中毁灭。
"
negligible,The damage done to his property was negligible.,对他财产造成的损失微不足道。,"adj.可忽略不计的，微不足道的
","1. The damage done to his property was negligible.
对他财产造成的损失微不足道。
"
specification,The bolts met all the engineering specifications .,这些螺栓符合所有的工程设计规格。,"n.(常pl.)规格,说明书,规范
","1. The bolts met all the engineering specifications .
这些螺栓符合所有的工程设计规格。
"
gentleman,"Could you serve this gentleman please, Miss Bath?",巴思小姐，请你接待一下这位先生好吗？,"n.绅士,先生
","1. Could you serve this gentleman please, Miss Bath?
巴思小姐，请你接待一下这位先生好吗？
2. Good morning, ladies and gentlemen .
早上好，女士们，先生们。
3. An elderly gentleman was asleep next to the fire.
一位老先生在火炉旁边睡着了。
"
preclude,rules that preclude experimentation in teaching methods,禁止进行教学方法试验的规定,"v.排除,阻止,妨碍
","1. rules that preclude experimentation in teaching methods
禁止进行教学方法试验的规定
"
apart,They have offices in countries as far apart as India and Peru.,他们的办事处远至印度、秘鲁等国。,"adv&adj.〔空间〕分开（的），相距（的），相隔（的）
","1. They have offices in countries as far apart as India and Peru.
他们的办事处远至印度、秘鲁等国。
2. The police try to keep rival supporters apart at all matches.
警方在所有的比赛中都设法将双方的支持者分开。
3. A couple of men started fighting and we had to pull them apart .
几名男子打起架来，我们不得不将他们拉开。
4. Joel stood apart from the group, frowning.
乔尔皱着眉头，独自站在一边。
5. Their concept of a performance and our concept were miles apart.
他们对一场表演的概念和我们的概念相去甚远。
"
anonymous,the anonymous author of a collection of poems,一本诗集的佚名作者,"adj.匿名的，无名的，姓氏不明的
","1. the anonymous author of a collection of poems
一本诗集的佚名作者
2. According to one employee, who wishes to remain anonymous , the company engaged in illegal activities.
根据一位不愿透露姓名的员工所述，这家公司曾从事非法活动。
"
consider,We will have to consider your offer carefully .,我们得仔细考虑你的提议。,"v.考虑，细想；认为；体谅，顾及
","1. We will have to consider your offer carefully .
我们得仔细考虑你的提议。
2. The local authority considered that the school did not meet requirements.
当地政府认为这所学校达不到要求。
3. You’ve got to learn to consider other people!
你得学会为别人着想！
"
consecutive,It had rained for four consecutive days.,雨接连下了四天。,"adj.连续的；连贯的；顺序的
","1. It had rained for four consecutive days.
雨接连下了四天。
2. Can they win the title for the third consecutive season?
他们能连续第三个赛季赢得冠军称号吗？
"
spectacular,a mountainous area with spectacular scenery,景色壮丽的山区,"adj.壮观的,引人注目的
n.壮观的演出
","1. a mountainous area with spectacular scenery
景色壮丽的山区
2. a spectacular success
辉煌的成就
3. a television spectacular
场面盛大的电视节目
"
directly,The new property tax law won’t directly affect us.,新的财产税法不会直接影响到我们。,"adv.直接地,径直地；马上,立即
","1. The new property tax law won’t directly affect us.
新的财产税法不会直接影响到我们。
2. We hope to bring together the countries directly involved in the conflict.
我们希望让直接卷入冲突的各国重归于好。
3. Most guests left directly after the wake.
守灵仪式一结束，大部分客人就立刻走了。
"
economics,a Harvard professor of economics,哈佛大学的经济学教授,"n.经济学
","1. a Harvard professor of economics
哈佛大学的经济学教授
"
act,The jury decided that Walker had acted in self-defence.,陪审团裁定沃克的行为属于自卫。,"v.行动，做事；表现；表演
n.行为；法令
","1. The jury decided that Walker had acted in self-defence.
陪审团裁定沃克的行为属于自卫。
2. He’s been acting strangely ever since his Mom died.
自从母亲死后，他的行为一直很怪。
3. I first started acting when I was 12 years old.
我12岁开始演戏。
4. a thoughtless act
轻率的举动
5. an act of Parliament
议会法令
"
compensation,People who are wrongly arrested may be paid compensation .,被误抓的人有可能得到补偿费。,"n.补偿费，赔偿金
","1. People who are wrongly arrested may be paid compensation .
被误抓的人有可能得到补偿费。
"
accountant,The boss dropped an accountant from the payroll.,老板把一名会计师从在职人员名单中除了名。,"n.会计人员，会计师
","1. The boss dropped an accountant from the payroll.
老板把一名会计师从在职人员名单中除了名。
"
resolute,resolute opposition,坚决的反对,"adj.坚决的,果断的
","1. resolute opposition
坚决的反对
2. resolute leadership
果断的领导
3. She remained resolute in her belief that the situation would improve.
她依然坚信情况将会好转。
"
sympathize,"I sympathize, but I don’t know how to help.",我很同情，但不知道如何帮忙。,"v.(sympathise)(with)同情;共鸣,同感
","1. I sympathize, but I don’t know how to help.
我很同情，但不知道如何帮忙。
"
coherent,The three years of the course are planned as a coherent whole.,这三年的课程是作为连贯的整体来安排的。,"adj.一致的，协调的；(话语等)条理清楚的
","1. The three years of the course are planned as a coherent whole.
这三年的课程是作为连贯的整体来安排的。
2. a coherent account of the incident
对该事件条理分明的陈述
3. He's so calm when he answers questions in interviews. I wish I could be that coherent.
他如此镇定地回答了访谈中的问题。我希望我也能那样有条不紊。
"
terminal,terminal cancer,晚期癌症,"adj.晚期的
n.终点(站)
","1. terminal cancer
晚期癌症
2. ferry/bus terminal
.渡船码头/公共汽车终点站
"
aside,He pushed his half-eaten salad aside and left.,他推开吃了一半的色拉走了。,"adv.在旁边，到一边
n.旁白；离题的话
","1. He pushed his half-eaten salad aside and left.
他推开吃了一半的色拉走了。
2. He stepped aside to let Katherine go in first.
他站到一边让凯瑟琳先进去。
3. Mark drew me aside and explained the problem.
马克把我拉到一边给我解释这个问题。
4. She swept her thick hair aside.
她把浓密的头发梳到一边。
"
criticize,Ron does nothing but criticize and complain all the time.,罗恩什么也不干，只是一味指责和抱怨。,"v.批评；指责；评论
","1. Ron does nothing but criticize and complain all the time.
罗恩什么也不干，只是一味指责和抱怨。
2. The new law has been widely criticized .
这项新法律受到了广泛的批评。
3. We look at each other’s work and criticize it.
我们交换作品，互相提出批评意见。
"
generalize,She has a tendency to generalize from her husband to all men.,她总爱把自己对丈夫的看法推及所有的男人。,"v.(generalise)归纳,概括；推广,普及
","1. She has a tendency to generalize from her husband to all men.
她总爱把自己对丈夫的看法推及所有的男人。
2. Can we generalise this principle?
这个原理可以推而广之吗？
"
assistant,...the assistant secretary of defence.,…助理国防部长。,"adj.帮助的，辅助的
n.助手，助理，副手
","1. ...the assistant secretary of defence.
…助理国防部长。
2. a clerical assistant
文书助理
"
