word,trans,example
crime,"n.罪行,犯罪
","1. We moved here because there was very little crime.
我们搬到这里来是因为这里的犯罪率很低。
2. Police officers are being given new powers to help combat crime.
警官们被赋予新的权力帮助他们打击犯罪。
3. a police crackdown on car crime
警察对汽车犯罪活动的一次严厉打击
4. a town with a relatively low crime rate
犯罪率相对较低的一个城镇
"
abandon,"v.离弃，丢弃；遗弃，抛弃；放弃
","1. We had to abandon the car and walk the rest of the way.
我们只好弃车，步行走完剩下的路。
2. How could she abandon her own child?
她怎么能抛弃自己的孩子？
3. They abandoned their attempt to recapture the castle.
他们放弃了夺回城堡的努力。
"
memory,"n.记忆力；记忆,回忆；存储(器)
","1. She has a terrible memory for names.
她记名字很不行。
2. He has lots of happy memories of his stay in Japan.
他对在日本逗留的那段时光有许多美好的回忆。
3. The data is stored in the computer’s memory.
数据储存在电脑的存储器里。
"
projector,"n.放映机,幻灯机,投影仪
","1. ...a slide projector.
…幻灯机。
"
trumpet,"n.喇叭,小号
","1. I played the trumpet in the school orchestra.
我在学校管弦乐队吹小号。
"
transparent,"adj.透明的，透光的；易理解的
","1. a transparent plastic container
透明的塑料容器
2. The way the system works will be transparent to the user.
这个系统的运行方式对使用者来说清楚易懂。
"
profitable,"adj.有利可图的,有益的
","1. The advertising campaign proved very profitable.
事实证明，这次广告宣传活动卓有成效。
2. a highly profitable business
盈利高的企业
3. a profitable afternoon
有收获的下午
"
grade,"n.等级,级别；分数
v.分等,分级
","1. The best grades of tea are expensive.
最上等的茶叶价格很贵。
2. He got a grade A in maths.
他数学得了个A。
3. All the parks are regularly checked and graded by tourist board inspectors.
所有公园都由旅游协会的检查员进行定期检查和评级。
"
bicycle,"n.(bike)自行车
v.骑自行车
","1. Can James ride a bicycle yet?
詹姆斯会骑自行车了吗？
"
disposition,"n.性格；排列,部署；倾向,意向
","1. The rides are unsuitable for people of a nervous disposition.
这种骑乘不适合紧张型性格的人。
2. a map showing the disposition of American forces
显示美军部署的地图
3. Neither side shows the slightest disposition to compromise.
双方都没有表露出丝毫妥协的意思。
"
disorder,"n.失调,疾病；混乱,杂乱；骚乱
","1. severe eating disorders such as bulimia and anorexia
像贪食症和厌食症这类严重的进食障碍
2. His whole system was thrown into disorder .
他的全套系统被搞得乱七八糟。
3. A number of stadiums were closed because of crowd disorder.
因发生群众骚乱，一些体育场被关闭了。
"
equality,"n.同等;平等;相等;等式;等同性
","1. ...equality of the sexes.
…性别平等。
"
export,"v.出口
n.出口；出口商品
","1. The company exports tuna to the US.
这家公司向美国出口金枪鱼。
2. a ban on the export of toxic waste
有毒废料的出口禁令
3. Wheat is one of the country’s main exports.
小麦是该国的主要出口商品之一。
"
subject,"n.主题；学科
adj.隶属的；易遭..的
v.使隶属
","1. Paul has strong opinions on most subjects.
保罗在大多数问题上观点激烈。
2. My favourite subject is math.
我最喜欢的学科是数学。
3. My favourite subject is math.
被他国统治的民族
4. All flights are subject to delay.
所有航班都有可能延误。
"
furnish,"v.供应,提供；装备,布置
","1. Will these finds furnish more information on prehistoric man?
这些发现是否能提供更多有关史前人类的资料？
2. Many proprietors try to furnish their hotels with antiques.
许多企业主尽可能用古董装饰他们的旅馆。
"
possibility,"n.可能,可能性
","1. There’s always a possibility that he might go back to Seattle.
他也许会回到西雅图去，这种可能性一直存在。
2. the possibility of an enemy attack
敌人进攻的可能性
3. There was no possibility of changing the voting procedure.
改变投票程序是不可能的。
4. A peace settlement now looks like a real possibility .
达成和平协议现在看来有很大的可能性。
5. Tomorrow, there’s a remote possibility of snow on high ground.
明天高原地区下雪的可能性甚微。
6. They might get married – it’s not beyond the bounds of possibility .
他们也许会结婚——这并非不可能。
7. The study raises the possibility that dieting is bad for your health.
那项研究指出节食有可能损害健康。
"
prayer,"n.祷告,祷文；祈祷
","1. Our thoughts and prayers are with you at this difficult time.
在这艰难时期我们时刻思念你，为你祈祷。
2. The children said their prayers and got into bed.
孩子们做完祷告后上床睡觉了。
3. God has answered your prayer .
上帝应许了你的祷告。
4. the power of prayer
祈祷的力量
"
production,"n.生产,产品,作品,(研究)成果,总产量
","1. That model won't go into production before late 2007.
那种型号要到2007年底才会投入生产。
2. In 1992, Green moved into video production.
1992 年格林转而从事录像制作。
"
continual,"adj.不断的,连续的；频繁的
","1. five weeks of continual rain
持续了五个星期的降雨
2. the Japanese business philosophy of continual improvement
日本人精益求精的经营哲学
3. She has endured house arrest and continual harassment by the police
她被软禁起来，并且遭到警方的频繁骚扰。
"
parent,"n.父母,母亲；母体
","1. Children under 14 should be accompanied by a parent.
14 岁以下儿童须由一位家长陪同。
2. The eggs are guarded by both parents.
那些蛋由两只亲鸟共同守护着。
3. Melissa’s spending the weekend at her parents’ house.
梅利莎正在父母家度周末。
4. New shoots appear near the parent plant.
母株附近冒出了新枝。
"
survive,"v.幸免于,幸存；比…长命
","1. ...the sequence of events that left the eight pupils battling to survive in icy seas for over four hours.
…使4名小学生在冰冷的海洋中挣扎求生超过4个小时的一连串事件。
2. Those organisms that are most suited to the environment will be those that will survive.
那些最适应环境的生物将是那些存活下来的。
3. Most women will survive their spouses.
大多数女性比她们的配偶活得长。
"
alongside,"adv&prep.在旁边
","1. A car drew up alongside .
一辆车在旁边停了下来。
2. Children’s prices are shown alongside adult prices.
儿童票价标在成人票价旁边。
"
involve,"v.包含,含有；涉及
","1. What will the job involve?
这份工作包括什么？
2. These changes will involve everyone on the staff.
这些变化将影响每一位职员。
"
solidarity,"n.团结
","1. a gesture of solidarity
团结的表示
2. an appeal for worker solidarity
呼吁工人们团结
"
embark,"v.(使)上船(或飞机,汽车等)；着手,从事
","1. They embarked on a ship bound for Europe.
他们登上了一艘去欧洲的船。
2. He's embarking on a new career as a writer.
他正开始一个当作家的新生涯。
"
intimidate,"v.胁迫，威胁(某人做某事)
","1. Attempts to intimidate her failed.
恐吓她的企图失败了。
"
carriage,"n.(四轮)马车；(火车)客车厢
","1. The president-elect followed in an open carriage drawn by six beautiful grey horses.
新当选的总统紧随其后，坐着6匹灰色骏马开道的敞篷马车。
2. The company manufactured elegant railway carriages.
该公司生产雅致的火车车厢。
"
remark,"n.评语,意见
v.评论
","1. Unfortunately, a local journalist overheard the remark.
不巧一名当地记者无意中听到了这些话。
2. He remarked on the difference in security measures at the two airports.
他讲到了两个机场安全措施的不同。
"
detach,"v.分开, 分离, 分遣, 派遣(军队)
","1. Please detach and fill out the application form.
请撕下申请表并填好。
"
immerse,"v.使浸没；使沉浸在
","1. The electrodes are immersed in liquid.
电极被浸没在液体中。
2. He's really becoming immersed in his work.
他真正地变得专注于自己的工作。
"
partial,"adj.部分的,不完全的；偏袒的,不公平的,偏爱的
","1. The exhibition was only a partial success.
那次展会只获得部分成功。
2. I might be accused of being partial.
我可能会被人指责是偏袒的。
"
recreation,"n.娱乐,消遣
","1. His only recreations are drinking beer and watching football.
他唯一的消遣就是喝啤酒和看足球比赛。
2. the provision of recreation facilities
提供娱乐设施
"
attract,"v.吸引；引起的注意(或兴趣等)
","1. I guess it was his eyes that attracted me first.
我想是他的眼睛首先迷住了我。
2. What attracted me most to the job was the chance to travel.
这份工作最吸引我的地方是有机会旅行。
"
formation,"n.形成;构成;组织;构造;编制;塑造
","1. the formation of a new government
新政府的组成
2. We now know a lot more about the early stages of planetary formation.
我们现在对行星形成过程的早期阶段有了更多的了解。
3. My profession had an important influence in the formation of my character and temperament.
我的职业对我的性格和性情的形成有重要的影响。
"
speciality,"n.(specialty) 特色食品; 特产；专业；专门研究；专长
","1. the region’s speciality cheese
该地区的特色干酪
2. His speciality is international law.
他的专业是国际法。
"
motion,"n.运动,动；提议,动议
v.提议,动议
","1. Newton’s first law of motion
牛顿第一运动定律
2. The motion was carried unanimously.
提议获得一致通过。
"
privacy,"n.(不受干扰的)独处，自由；隐私
","1. With seven people squashed in one house, you don’t get much privacy.
七个人挤在一间房子里，想要独处不大可能。
2. each individual’s right to privacy
每个人的隐私权
"
prosper,"v.成功,兴隆,昌盛,使成功,使昌隆,繁荣
","1. His business continued to prosper.
他的生意持续兴隆。
"
articulate,"adj.善于表达的
v.清楚地讲话
","1. She is an articulate young woman.
她是个善表达的年轻女子。
2. Many people are unable to articulate the unhappiness they feel.
许多人都表达不出内心的痛苦。
"
car,"n.汽车，车辆，车；(火车)车厢
","1. Dan got out of the car and locked the door.
丹下了车，锁上车门。
2. He isn’t old enough to drive a car.
他还未到可以开车的年龄。
3. He made his way into the dining car for breakfast.
他挤进餐车吃早点。
"
gratitude,"n.感激,感谢
","1. Tears of gratitude filled her eyes.
她眼里充满感激的泪水。
"
resemble,"v.像,类似
","1. It’s amazing how closely Brian and Steve resemble each other.
布赖恩和史蒂夫真是惊人地相像。
2. He grew up to resemble his father.
他长大了，很像他父亲。
"
synthetic,"adj.合成的,人造的
","1. synthetic chemicals
合成化学品
"
pessimistic,"adj.悲观(主义)的
","1. a pessimistic view of life
对人生的悲观看法
"
insist,"v.坚称，坚决认为
","1. Mike insisted that he was right.
迈克坚决认为自己是对的。
"
certificate,"n.证(明)书,执照
","1. ...birth certificates.
…出生证明。
"
technology,"n.科技；工艺
","1. Modern technology makes moving money around much easier than it used to be.
现代科技使货币流动比以前便捷得多。
2. Advances in technology have improved crop yields by over 30%.
科技的进步使庄稼产量提高了30%以上。
3. There have been major new developments in satellite technology.
卫星技术有了重大的新发展。
4. Many people are unwilling to embrace new technologies.
很多人不愿意接受新科技。
"
testimony,"n.证词
","1. Barker’s testimony is crucial to the prosecution’s case.
巴克的证词对控方的指控起到了关键作用。
2. In his testimony, he denied that the company had ignored safety procedures.
他在证词中否认公司忽视了安全程序。
"
invention,"n.发明,创造,发明物
","1. The dishwasher is a wonderful invention.
洗碗机是一项奇妙的发明。
"
resemblance,"n.相似,相似性[点,物]
","1. There was a remarkable resemblance between him and Pete.
他和皮特有一个惊人的相似之处。
"
admire,"v.钦佩，赞美，羡慕
","1. I really admire the way she brings up those kids all on her own.
我十分佩服她独力把那些孩子抚养大。
"
succession,"n.继任,继承
","1. the queen’s succession to the throne
女王对王位的继承
"
counter,"n.柜台；计数器
adj&adv.相反(的)
v.反对,反击
","1. He wondered if the girl behind the counter recognised him.
他在想柜台后面的那个女孩是否认出了他。
2. Some actions by the authorities ran counter to the President’s call for leniency.
当局的某些行为和总统呼吁的宽容背道而驰。
3. He was determined to counter the bribery allegations.
他决心要反驳受贿的指控。
"
hers,"pron.[she的物主代词]她的(所有物)
","1. He bent and touched his mouth to hers.
他俯身吻她的嘴唇。
2. These are my gloves. Hers are in the drawer.
这是我的手套，她的在抽屉里。
3. The idea was hers.
这个主意是她出的。
"
primitive,"adj.原始的,远古的,早期的；简陋的; 旧式的
","1. a primitive society
原始社会
2. a primitive nomadic tribe
原始的游牧部落
3. the tools used by primitive man
原始人所用的工具
4. The conditions are primitive by any standards.
这些条件以任何标准衡量都是简陋的。
"
politics,"n.政治；政治学；政纲,政见
","1. a good understanding of politics in China
对中国政治很好的了解
2. Tom is studying for a degree in politics.
汤姆正在攻读政治学学位。
3. I assume her politics must be fairly conservative.
我猜她的政治观点一定相当保守。。
"
parliament,"n.国会,议会
","1. They demanded a free parliament and press.
他们要求议会自由和新闻自由。
"
predecessor,"n.前辈，前任
","1. Kennedy’s predecessor as President was the war hero Dwight Eisenhower.
肯尼迪总统的前任是战争英雄德怀特·艾森豪威尔。
"
college,"n.高等专科学校；大学；学院
","1. a teacher training college
师范学院
2. Donna left school and went to art college.
唐娜中学毕业后进了艺术学院。
3. Some people who want to go to college still can’t get there.
有些想上大学的人仍然无法如愿。
4. Trinity College, Cambridge
剑桥大学三一学院
"
summary,"n.摘要,概要
adj.概括的,简略的
","1. A brief summary is given on a separate sheet.
摘要另写一页。
2. It says torture and summary execution are common.
据说酷刑和草草处决很常见。
"
interact,"v.互相作用,互相影响
","1. You have to understand how cells interact.
你必须得了解细胞之间是如何相互作用的。
"
import,"v.进口,输入
n.进口,输入
","1. Rich countries benefited from importing Indonesia's timber.
富国从进口印度尼西亚木材中获利。
2. a ban on beef imports
禁止进口牛肉
"
adverse,"adj.逆的，相反的；敌对的；不利的；有害的
","1. They fear it could have an adverse effect on global financial markets.
他们担心这会对全球金融市场产生不利影响。
2. Miller’s campaign has received a good deal of adverse publicity .
米勒的竞选活动招来许多负面报道。
"
technique,"n.技巧，手艺，工艺；技能，技术
","1. He’s a great player, with brilliant technique.
他是个伟大的球员，球技十分精湛。
2. There are various techniques for dealing with industrial pollution.
处理工业污染有很多不同的技术。
"
circle,"n.圆,圆周；集团；周期,循环
v.环绕,旋转
","1. Draw a circle 10cm in diameter.
画一个直径10厘米的圆形。
2. Johnson was part of the President’s inner circle (= the people who have the most influence ) .
约翰逊是总统核心集团的人。
3. Sooner or later, fashion comes full circle.
时尚迟早会流行回来的。
4. This is the road that circles the city.
这就是那条环城路。
"
medium,"n.媒体；方法；媒介,介质
adj.中等的
","1. Advertising is a powerful medium.
广告是具有强大影响力的传播媒介。
2. the visual media
视觉媒介
3. hair of medium length
中等长短的头发
"
official,"n.官员,行政官员
adj.官方的,官方的,正式的
","1. a government official
政府官员
2. You will have to get official permission first.
你必须先得到正式许可。
"
divert,"v.使转向，使改道；转移(注意力)；使娱乐
","1. The high street is closed and traffic is being diverted .
大街封闭，车辆正改道而行。
2. He’d been trying to divert suspicion away from himself.
他一直试图转移别人对他的怀疑。
"
agitate,"v.煽动，鼓动；宣传
","1. His family are agitating to get him freed.
他的家人在多方游说将他释放。
"
maneuver,"n.(manoeuvre)移动;运用,操作;
v.移动
","1. The chopper shot upward in a manoeuver matched by the other pilot.
这架直升飞机向上冲去，另一架飞机也以相同的移动方向冲了上去。
2. The president has tried to manoeuver the campaign away from himself.
总统试图操控该活动，使其远离自身。
3. That will allow them to manoeuvre the satellite into the shuttle's cargo bay.
那将使得他们能把人造卫星移入飞船的货物舱。
"
allowance,"n.补贴，津贴；允许量；零用钱
","1. Sales staff get a generous mileage allowance or a company car.
销售人员有优厚的里程补贴或者公司提供的专用汽车。
2. the recommended daily allowance of Vitamin C
维生素C的每日建议摄入量
"
nickname,"n.绰号，浑名
v.给…起绰号
","1. Stephen earned himself the nickname Hawkeye.
斯蒂芬得了个“鹰眼”的绰号。
2. She was nicknamed Sunny because of her happy nature.
她因生性快乐而被人叫做“开心果”。
"
adverb,"n.副词
adj.副词的
","1. Will you please compare the adverb “well”?
请你说出副词“well”的原级、比较级和最高级好吗?
2. In the class, the professor taught the students how to use an adverb in the sentence.
在课堂上，教授教学生们如何在一个句子里用副词。
"
spiritual,"adj.精神(上)的,心灵的
","1. Painting helps fill a spiritual need for beauty.
绘画可以满足对美的精神需求。
2. spiritual values
精神价值
"
artery,"n.动脉；干线，要道
","1. ...patients suffering from blocked arteries.
…患动脉堵塞的病人们。
2. ...Connecticut Ave., one of the main arteries of Washington.
…康涅狄格大道，华盛顿的主干道之一。
"
merit,"n.优点，成绩
v.值得
","1. The merit of the report is its realistic assessment of the changes required.
这份报告的优点就是它对所要求的变动进行了实事求是的评估。
2. The great merit of the project is its flexibility and low cost.
该项目最大的优点是它的灵活性和低成本。
3. Each of these approaches to teaching has its merits .
这些教学方法每一种都有其优点。
4. Tonight’s meeting will weigh up the relative merits of the two candidates.
今晚的会议将对两位候选人的相对优点进行考量。
5. It’s a fascinating book which merits attention.
这是本引人入胜的书，值得关注。
"
bacterium,"n.细菌
","1. It was so large and complex, they initially assumed it was a bacterium.
由于它们是如此庞大和复杂，最初被认为是一种细菌。
2. They also converted one species of bacterium into another through a “genome transplant”.
他们还通过“基因移植”，把一个物种的细菌转变为另一种。
"
current,"n.水流；气流；电流；潮流,趋势
adj.当前的;现行的
","1. Strong currents can be very dangerous for swimmers.
激流对游泳者会很危险。
2. Some birds use warm air currents to help them fly.
有些鸟利用热气流帮助它们飞行。
3. an electrical current
一股电流
4. The committee reflects the different political currents within the organization.
该委员会反映出了团体内部各种不同的政治思潮。
5. the current President
现任总统
"
bottom,"n.底(部),基础,根基；海底,湖底,河床
","1. Can you hold the bottom of the ladder for me?
你帮我扶住梯子底部好吗？
2. A body was found at the bottom of the canal.
运河河底发现了一具尸体。。
"
verify,"v.证实,查证；证明
","1. I verified the source from which I had that information.
我核实了我获知那条信息的来源。
2. His statement was verified by several witnesses.
他的说法得到了几位证人的证实。
"
security,"n.安全(感)；防御(物),保证(人)；(pl.)证券
","1. terrorist activity that is a threat to national security
威胁国家安全的恐怖活动
2. One of the sales clerks called security.
有一名销售员给保安部门打了电话。
3. Workers want greater job security (= not being in danger of losing your job ) .
工人们希望有更多的工作保障。
4. National banks can package their own mortgages and underwrite them as securities.
国家银行可以组合包装自己的的抵押贷款,以证券形式承销。
"
induce,"v.引诱,劝使；引起,导致
","1. Nothing would induce me to vote for him again.
没有什么能诱使我再投他的票了。
2. Patients with eating disorders may use drugs to induce vomiting.
患有进食障碍的人可使用药物催吐。
"
prosperous,"adj.繁荣的,兴旺的,茂盛的,顺利的
","1. a prosperous landowner
富裕的土地拥有者
"
cohesive,"adj.团结的，有凝聚力的
","1. a cohesive community
团结的社区
"
merchandise,"n.商品,货物
","1. A range of official Disney merchandise was on sale.
一系列正版的迪士尼商品在出售。
2. They inspected the merchandise carefully.
他们仔细地检查了商品。
"
resign,"v.辞去,辞职；使听从(于),使顺从
","1. She resigned from the government last week.
上星期她辞去了政府部门的工作。
2. Josh resigned himself to the long walk home.
乔希只好走很长的路回家。
"
battery,"n.电池(组)；(器具等的)一组，一套；炮兵连
","1. You have to take the top off to change the batteries .
你得把顶盖拿掉才能更换电池。
2. When the red light comes on, you should recharge the battery .
红灯亮起的时候你就应该给电池充电了。
3. a battery of medical tests
一组医疗化验
4. an anti-aircraft battery
防空炮
"
motivate,"v.作为…的动机；促动，激励，鼓励
","1. Was he motivated solely by a desire for power?
他只是受到权欲的驱使吗？
2. A good teacher has to be able to motivate her students.
好教师必须能够激发学生的积极性。
"
alleviate,"v.减轻，缓和，缓解(痛苦等)
","1. measures to alleviate poverty
扶贫措施
"
senate,"n.参议院,上院
","1. The Senate approved the bill.
参议院批准了这项议案。
"
portray,"v.描写，描绘
","1. Romantic artists portrayed nature as wild and powerful.
浪漫主义艺术家描绘的大自然是狂野而强大的。
2. His most famous painting portrayed the death of Nelson.
他最著名的画作描绘的是纳尔逊之死。
"
commercial,"adj.商业的；商务的；可获利的
n.广告节目
","1. Our top priorities must be profit and commercial growth.
我们必须把利润和贸易增长作为我们的第一要务。
2. The film was a huge commercial success.
这部电影获利非常丰厚。
3. a soap powder commercial
肥皂粉广告
"
generator,"n.发电机,发生器
","1. an emergency generator
应急发电机
"
cape,"n.披肩，短披风；海角，岬
","1. ...a woollen cape.
…一件羊毛披肩。
2. Cape Cod
科德角
"
intervene,"v.(in)干涉,干预;插入,介入
","1. The army will have to intervene to prevent further fighting.
军队将不得不干预以阻止进一步的战斗。
"
mercy,"n.仁慈,怜悯,宽恕
","1. He showed no mercy to his enemies.
他对敌人毫不仁慈。
2. God have mercy on his soul.
愿上帝宽恕他的灵魂。
"
prevent,"v.(from)预防,防止,阻止,制止,妨碍
","1. The rules are intended to prevent accidents.
这些规定旨在预防事故。
2. We were prevented from entering the site.
我们被阻止进入现场。
3. Wrap small ornaments in paper to prevent them being damaged.
把小饰品用纸包上以免损坏。
"
capable,"adj.有本领的,有能力的;(of)可以…的,能…的
","1. I don’t think he’s capable of murder.
我认为他没有能力杀人。
2. The company isn’t capable of handling an order that large.
那家公司没有能力应付那么大的订单。
3. I’m perfectly capable of looking after myself, thank you!
我完全能够自己照顾自己，多谢了！
"
tractor,"n.拖拉机,牵引车
","1. Iron-ox is another name for tractor.
铁牛是拖拉机的别名。
2. The tractor hauled the fertilizer away.
拖拉机把肥料拉走了。
3. In addition to the tractor, we have acquired a new rice transplanter.
除了拖拉机， 我们又添了一台插秧机。
"
visual,"adj.视觉的，视力的
","1. Artists translate their ideas into visual images.
画家把自己的思想转换成视觉画面。
2. The tall tower adds to the visual impact of the building.
高高的塔楼增强了这幢大楼的视觉效果。
"
simulate,"v.模仿,模拟；假装,冒充
","1. a machine that simulates conditions in space
一台模拟太空环境的机器
2. He found it impossible to simulate grief.
他无法装出悲伤的样子。
"
valuable,"adj.贵重的,有价值的
n.(pl.)贵重物品,财宝
","1. a valuable painting
一幅名贵的画
2. Guests should leave their valuables in the hotel safe.
客人应把贵重物品存放在酒店保险柜中。
"
productive,"adj.能产的,多产的；生产(性)的
","1. Most of us are more productive in the morning.
我们大多数人在早上更有效率。
2. a highly productive meeting
富有成效的会议
3. the economy’s productive capacity
该经济体的生产能力
"
detect,"v.察觉,发觉,侦察,探测
","1. Many forms of cancer can be cured if detected early.
如果发现得早，许多种癌症都可以治愈。
"
fracture,"n.裂缝(痕);骨折
v.(使)断裂,(使)折断
","1. a stress fracture in his left knee
他左膝上的应力性骨折
2. a hairline fracture
细小的裂缝
3. The immense pressure causes the rock to fracture.
巨大的压力造成岩石断裂。
"
sensation,"n.感觉,知觉；激动,轰动,轰动一时的事情
","1. One sign of a heart attack is a tingling sensation in the left arm.
心脏病发作的一个征兆是左臂有刺痛感。
2. She was just 14 when she caused a sensation at the Montreal Olympics.
她在蒙特利尔奥运会上引起轰动时，年仅14岁。
"
improve,"v.改善，改进；变得更好
","1. a course for students wishing to improve their English
为想提高英语水平的学生开设的一门课
2. The doctors say she is improving (= after being ill ).
医生说她正在康复。
3. You could use the money for improving your home.
你可以用这笔钱改善家居。
4. Many wines improve with age (= get better as they get older ).
很多葡萄酒年代越久越香醇。
"
recall,"v.回忆,回想；撤消,收回
","1. You don’t happen to recall his name, do you?
你不会恰巧还想得起他的名字吧？
2. The cars had to be recalled due to an engine fault.
由于发动机缺陷，那些汽车必须召回。
"
affection,"n.喜爱，钟爱；慈爱
","1. She looked back on those days with affection .
她深情地回顾那些日子。
2. Their father never showed them much affection .
他们的父亲对他们从来没有表现出多少慈爱。
3. The church was held in great affection (=  loved and cared about a lot  ) by the local residents.
教会深受当地民众爱戴。
"
formulate,"v.规划；制定；准备；仔细思考并明确表达
","1. Little by little, he formulated his plan for escape.
他一点一点地构想出了他的逃跑计划。
2. We are studying the situation but have not formulated any response yet.
我们正在研究形势，但尚未考虑好如何回应。
"
conversely,"adv.相反地
","1. American consumers prefer white eggs; conversely, British buyers like brown eggs.
美国的消费者喜欢白色的鸡蛋，而英国的消费者却相反，他们喜欢棕色的鸡蛋。
"
graceful,"adj.优美的,文雅的,大方的
","1. Her movements were graceful and elegant.
她举手投足优雅而高贵。
2. The branches formed a graceful curve.
那些树枝形成一条优美的曲线。
"
monkey,"n.猴子
","1. The monkey is beating up and down.
那只猴子到处乱窜。
2. The monkey engulfed the food whole.
这只猴子囫囵吞下食物。
3. The monkey had deflowered an entire section of the garden.
这只猴子把花园中一整块地方的花都糟蹋了。
"
positive,"adj.肯定的,积极的
","1. Her husband became much more positive and was soon back in full-time employment.
她丈夫变得积极多了，并且很快又干起了全职工作。
2. Write down all the positive things about your life.
记下生活中所有好的事情。
3. The rural environment was having a positive effect on the children’s health.
乡村环境对孩子们的健康有好处。
4. It’s been a very positive experience for her.
那对她来说是一次非常有益的经历。
5. TV can be a positive influence .
电视也会有好的影响。
6. the positive contribution to the community made by many older people
许多老年人为社区做出的积极贡献
7. It’s been a difficult time but, on the positive side , I feel physically fine.
日子过得不容易，不过从好的方面看，我的身体状况还不错。
8. Women should be portrayed in a more positive light .
应该从更正面的角度来描绘女性。
"
access,"n.进入；接入；到达；享用权；入口
v.存取
","1. Access to the papers is restricted to senior management.
只有高级管理层才有权查阅这些文件。
2. We’re trying to improve access for disabled visitors.
我们正在设法给残障访客的出入提供便利。
3. Access is by means of a small door on the right.
入口是右边的一扇小门。
4. Users can access their voice mail remotely.
用户可以远程获取语音邮件。
"
panel,"n.专门小组；面板，控制板，仪表盘
","1. He assembled a panel of scholars to advise him.
他集结了一个学者小组为他出谋划策。
2. ...the frosted glass panel set in the centre of the door.
…嵌在门中心的毛玻璃板。
3. The equipment was extremely sophisticated and was monitored from a central control panel.
这台设备极其复杂，是由中央控制面板监控的。
"
erect,"v.建立；树立,使竖立
adj.直立的,垂直的
","1. an imposing town hall, erected in 1892
一座气势宏伟的市政厅，建于1892年
2. It took a couple of hours to erect the tent.
搭帐篷花了几个小时。
3. Martin stood erect on the platform.
马丁在讲台上笔直地站着。
"
oppose,"v.反对,使对立,使对抗,使相对
","1. Congress is continuing to oppose the President’s health care budget.
国会继续反对总统的医疗保健预算。
"
void,"adj.无效的；毫无…的，缺乏…的
","1. he original elections were declared void by the former military ruler.
原来的选举被前军事首领宣布为无效。
2. Her eyes were void of all expression.
她的眼神一片茫然。
"
consumption,"n.消费(量),消耗
","1. Vigorous exercise increases oxygen consumption.
剧烈运动增加氧的消耗。
"
ambassador,"n.大使；特使，(派驻国际组织的)代表
","1. ...the German ambassador to Poland.
…德国驻波兰大使。
"
versatile,"adj.多才多艺的；有多种用途的，多功能的，万用的
","1. a very versatile performer
多才多艺的表演者
2. The potato is an extremely versatile vegetable.
马铃薯是一种用途极广的蔬菜。
"
vital,"adj.生死攸关的,重大的；生命的,生机的
","1. The work she does is absolutely vital.
她所做的工作至关重要。
2. Rodgers and Hart’s music sounds as fresh and vital as the day it was written.
罗杰斯与哈特的音乐现在听来还有刚写成时的那份清新和活力。
"
evoke,"v.唤起(回忆、感情等)；引起
","1. The photographs evoked strong memories of our holidays in France.
那些照片勾起了我们到法国度假的深刻回忆。
2. His appearance is bound to evoke sympathy.
他的外表肯定会引起人们的同情。
3. Her speech evoked a hostile response.
她的讲话引起了敌对的反应。
"
dominate,"v.支配,统治,控制
","1. The industry is dominated by five multinational companies.
这个行业受五家跨国公司控制。
2. New Orleans dominated throughout the game.
新奥尔良队自始至终都控制着这场比赛。
3. Her loud voice totally dominated the conversation.
她的大嗓门完全主导着这场谈话。
4. Education issues dominated the election campaign.
教育问题成了这次选举活动的主要辩题。
"
desolate,"adj.荒凉的;孤独的
v.使荒芜
","1. a desolate landscape
荒凉的景色
2. David was desolated by his wife’s death.
妻子的死使戴维悲痛万分。
"
accept,"v.接受；认可，同意
","1. Rick accepted her offer of coffee.
她请里克喝咖啡，他接受了。
2. He accepted the invitation to stay with us.
他接受了邀请来我们家住。
3. His school reports said that he is always ready to accept a challenge (=  agree to do something difficult  ) .
他的学业报告上说他乐于接受挑战。
4. Please accept this small gift.
请收下这份小小的礼物。
5. They offered me a job and I accepted.
他们给我一份工作，我接受了。
6. He readily accepted her invitation (=  accepted it quickly  ) .
他欣然接受了她的邀请。
"
secondary,"adj.次要的,二级的；(教育) 中等的
","1. the novel’s secondary characters
这本小说中的次要人物
2. Examinations are taken after about five years of secondary education.
经过约五年的中等教育后参加考试。
"
physiological,"adj.生理学的, 生理学上的
","1. If so, this would add to a growing list of physiological and biological markers of sexual orientation.
如果是这样，这可能会给生理和生物学上的性取向标记增加一长串名单。
2. The study aims to determine whether there is actually a physiological basis to the disease.
他们研究的目的在于去确定是否真的有这种疾病的生理基础。
"
pronunciation,"n.发音,发音方法
","1. She gave the word its French pronunciation.
她给出了这个单词的法语发音。
"
commerce,"n.买卖，贸易；商务；商业
","1. measures promoting local commerce and industry
促进地方工商业发展的措施
"
commodity,"n.商品
","1. agricultural commodities
农业商品
2. Commodity prices fell sharply.
商品价格急剧下跌。
"
video,"n.录影，录像
adj.电视的,视频的;录像的
","1. Let’s stay at home and watch a video.
我们待在家里看录像吧。
2. Rewind the video right to the beginning.
把录像倒退到开头部分。
3. The school will be making a video of the play.
学校将把这出戏拍摄成录像。
4. video production
录像制作
"
selection,"n.选择,挑选；挑选出来的东西
","1. The judges have made their final selection.
评委已经作出最后的评选。
2. To order, just write your selections on the form.
订购只需在表上写下你所选的东西。
"
